Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
88,Tuesday Jul 12,boxscore,MIL,@,MIN,W,6,3,,49-39,1,up 2.0,Gustave,Winder,Hader,3:02,N,37183,1.05,+,
89,Wednesday Jul 13,boxscore,MIL,@,MIN,L-wo,1,4,,49-40,1,up 2.0,Duran,Hader,,3:20,D,38802,1.10,-,
90,Thursday Jul 14,boxscore,MIL,@,SFG,W,3,2,10,50-40,1,up 3.0,Gott,Doval,Williams,3:52,N,26994,1.18,+,
91,Friday Jul 15,boxscore,MIL,@,SFG,L-wo,5,8,,50-41,1,up 2.0,Long,Hader,,3:34,N,28244,1.09,-,
92,Saturday Jul 16,boxscore,MIL,@,SFG,L,1,2,,50-42,1,up 1.0,Brebbia,Suter,Leone,2:49,D,41279,1.11,--,
93,Sunday Jul 17,boxscore,MIL,@,SFG,L,5,9,,50-43,1,up 0.5,Webb,Ashby,,2:49,D,30584,1.10,---,
94,Friday Jul 22,boxscore,MIL,,COL,W-wo,6,5,13,51-43,1,up 1.5,Suter,Bird,,4:44,N,33357,1.01,+,
95,Saturday Jul 23,boxscore,MIL,,COL,W,9,4,,52-43,1,up 1.5,Woodruff,Ureña,,3:13,N,31694,1.01,++,
96,Sunday Jul 24,boxscore,MIL,,COL,W,10,9,,53-43,1,up 2.5,Suter,Colomé,Hader,4:17,D,36465,1.01,+++,
97,Monday Jul 25,boxscore,MIL,,COL,L,0,2,,53-44,1,up 2.0,Freeland,Ashby,Bard,2:50,N,25194,.98,-,
98,Tuesday Jul 26,boxscore,MIL,,MIN,W-wo,7,6,,54-44,1,up 3.0,Hader,Duffey,,3:30,N,28596,.99,+,
99,Wednesday Jul 27,boxscore,MIL,,MIN,W,10,4,,55-44,1,up 3.0,Burnes,Archer,,3:27,D,35914,.95,++,
100,Friday Jul 29,boxscore,MIL,@,BOS,W,4,1,,56-44,1,up 3.0,Woodruff,Bello,Hader,3:27,N,34193,.95,+++,
101,Saturday Jul 30,boxscore,MIL,@,BOS,W,9,4,,57-44,1,up 4.0,Lauer,Pivetta,,3:49,D,35867,.92,++++,
102,Sunday Jul 31,boxscore,MIL,@,BOS,L,2,7,,57-45,1,up 3.0,Winckowski,Ashby,,2:58,D,35231,.85,-,
103,Tuesday Aug 2,boxscore,MIL,@,PIT,L,3,5,,57-46,1,up 2.0,Holderman,Burnes,Crowe,3:02,N,12401,.82,--,
104,Wednesday Aug 3,boxscore,MIL,@,PIT,L-wo,7,8,,57-47,1,up 1.5,Crowe,Williams,,3:49,N,13084,.85,---,
105,Thursday Aug 4,boxscore,MIL,@,PIT,L-wo,4,5,10,57-48,1,Tied,Underwood,Bush,,3:22,D,13485,.87,----,
106,Friday Aug 5,boxscore,MIL,,CIN,W,5,1,,58-48,1,Tied,Lauer,Dugger,Williams,3:14,N,33239,.93,+,
107,Saturday Aug 6,boxscore,MIL,,CIN,L,5,7,,58-49,2,1.0,Farmer,Ashby,,3:30,N,35784,.97,-,
108,Sunday Aug 7,boxscore,MIL,,CIN,L,2,4,10,58-50,2,2.0,Strickland,Williams,Detwiler,3:47,D,40063,.97,--,
109,Tuesday Aug 9,boxscore,MIL,,TBR,W,5,3,,59-50,2,1.0,Peralta,Yarbrough,Bush,2:46,N,30030,.98,+,
110,Wednesday Aug 10,boxscore,MIL,,TBR,W-wo,4,3,10,60-50,2,1.0,Williams,Thompson,,3:03,D,30644,.95,++,
111,Friday Aug 12,boxscore,MIL,@,STL,L,1,3,,60-51,2,1.5,Montgomery,Lauer,Helsley,2:53,N,45669,1.39,-,
112,Saturday Aug 13,boxscore,MIL,@,STL,W,3,2,10,61-51,2,0.5,Williams,Gallegos,Bush,3:01,N,45905,1.46,+,
113,Sunday Aug 14,boxscore,MIL,@,STL,L,3,6,,61-52,2,1.5,Mikolas,Rogers,,2:17,D,44142,1.41,-,
114,Monday Aug 15,boxscore,MIL,,LAD,L,0,4,,61-53,2,2.0,Urías,Peralta,,3:12,N,27084,.99,--,
115,Tuesday Aug 16,boxscore,MIL,,LAD,W-wo,5,4,11,62-53,2,2.0,Suter,Kimbrel,,3:52,N,32948,1.00,+,
116,Wednesday Aug 17,boxscore,MIL,,LAD,L,1,2,,62-54,2,3.0,Gonsolin,Lauer,Kimbrel,2:49,N,30259,1.01,-,
117,Thursday Aug 18,boxscore,MIL,,LAD,W,5,3,,63-54,2,3.0,Burnes,Heaney,Williams,2:58,D,37403,1.01,+,
118,Friday Aug 19,boxscore,MIL,@,CHC,L,7,8,,63-55,2,4.0,Rucker,Milner,Hughes,2:54,D,39962,1.04,-,
119,Saturday Aug 20,boxscore,MIL,@,CHC,L-wo,5,6,11,63-56,2,5.0,Uelmen,Strzelecki,,3:51,D,35994,1.02,--,
120,Sunday Aug 21,boxscore,MIL,@,CHC,W,5,2,,64-56,2,5.0,Suter,Wick,Rogers,3:04,D,34525,1.03,+,
121,Monday Aug 22,boxscore,MIL,@,LAD,W,4,0,,65-56,2,5.0,Lauer,Urías,,3:02,N,37091,1.01,++,
122,Tuesday Aug 23,boxscore,MIL,@,LAD,L,1,10,,65-57,2,5.5,Gonsolin,Burnes,,3:02,N,53222,1.06,-,
123,Wednesday Aug 24,boxscore,MIL,@,LAD,L,6,12,,65-58,2,5.5,Heaney,Houser,,3:07,N,47216,1.06,--,
124,Friday Aug 26,boxscore,MIL,,CHC,L,3,4,10,65-59,2,6.0,Newcomb,Williams,Rodríguez,3:16,N,33549,1.01,---,
125,Saturday Aug 27,boxscore,MIL,,CHC,W,7,0,,66-59,2,6.0,Rogers,Wick,,3:04,N,40901,.93,+,
126,Sunday Aug 28,boxscore,MIL,,CHC,W,9,7,,67-59,2,6.0,Lauer,Newcomb,Williams,3:24,D,39035,.91,++,
127,Monday Aug 29,boxscore,MIL,,PIT,W-wo,7,5,,68-59,2,6.0,Williams,Crowe,,3:32,N,23009,1.03,+++,
128,Tuesday Aug 30,boxscore,MIL,,PIT,L,2,4,,68-60,2,6.0,Banuelos,Boxberger,De Jong,2:43,N,24764,1.03,-,
129,Wednesday Aug 31,boxscore,MIL,,PIT,W,6,1,,69-60,2,6.0,Rogers,Yajure,,3:16,D,25240,.99,+,
130,Thursday Sep 1,boxscore,MIL,@,ARI,L,0,5,,69-61,2,6.5,Kelly,Woodruff,,2:28,N,10495,1.01,-,
131,Friday Sep 2,boxscore,MIL,@,ARI,L,1,2,,69-62,2,7.5,Nelson,Lauer,Kennedy,2:51,N,13488,.95,--,
132,Saturday Sep 3,boxscore,MIL,@,ARI,W,8,6,10,70-62,2,7.5,Williams,Mantiply,Rogers,4:12,N,22138,.87,+,
133,Sunday Sep 4,boxscore,MIL,@,ARI,L,1,5,,70-63,2,8.5,Gallen,Alexander,,2:39,D,20274,1.00,-,
134,Monday Sep 5,boxscore,MIL,@,COL,W,6,4,,71-63,2,7.5,Houser,Feltner,Williams,3:15,D,32627,.99,+,
135,Tuesday Sep 6,boxscore,MIL,@,COL,L-wo,7,10,10,71-64,2,8.5,Bard,Rogers,,3:01,N,22329,1.08,-,
136,Wednesday Sep 7,boxscore,MIL,@,COL,L,4,8,,71-65,2,9.5,Freeland,Lauer,,2:35,D,20278,.98,--,
137,Thursday Sep 8 (1),boxscore,MIL,,SFG,W,2,1,,72-65,2,8.0,Burnes,Junis,Williams,2:20,D,,.81,+,
138,Thursday Sep 8 (2),boxscore,MIL,,SFG,W,4,2,,73-65,2,8.0,Strzelecki,Young,Rogers,3:08,D,23019,.91,++,
