Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
96,Sunday Jul 24,boxscore,PIT,,MIA,L,5,6,10,40-56,3,13.0,Bass,Bednar,Brigham,3:07,D,15188,.06,-,
97,Monday Jul 25,boxscore,PIT,@,CHC,L,2,3,,40-57,3,13.0,Givens,De Los Santos,Effross,2:52,N,37342,.06,--,
98,Tuesday Jul 26,boxscore,PIT,@,CHC,L,2,4,,40-58,4,14.0,Thompson,Wilson,Givens,2:30,D,30978,.03,---,
99,Thursday Jul 28,boxscore,PIT,,PHI,L,7,8,,40-59,4,15.0,Wheeler,Thompson,Domínguez,3:11,N,20701,.03,----,
100,Friday Jul 29,boxscore,PIT,,PHI,L,2,4,10,40-60,4,16.0,Domínguez,Underwood,Brogdon,3:30,N,26946,.02,-----,
101,Saturday Jul 30,boxscore,PIT,,PHI,L,1,2,10,40-61,4,17.0,Knebel,De Los Santos,,2:54,N,38781,.01,------,
102,Sunday Jul 31,boxscore,PIT,,PHI,L,2,8,,40-62,5,17.0,Nola,Brubaker,,3:07,D,19322,.01,-------,
103,Tuesday Aug 2,boxscore,PIT,,MIL,W,5,3,,41-62,5,16.0,Holderman,Burnes,Crowe,3:02,N,12401,.00,+,
104,Wednesday Aug 3,boxscore,PIT,,MIL,W-wo,8,7,,42-62,3,15.0,Crowe,Williams,,3:49,N,13084,.01,++,
105,Thursday Aug 4,boxscore,PIT,,MIL,W-wo,5,4,10,43-62,3,14.0,Underwood,Bush,,3:22,D,13485,.01,+++,
106,Friday Aug 5,boxscore,PIT,@,BAL,L,0,1,,43-63,3,15.0,Kremer,Keller,Bautista,2:42,N,25613,.01,-,
107,Saturday Aug 6,boxscore,PIT,@,BAL,L,3,6,,43-64,5,16.0,Voth,Brubaker,,3:17,N,41086,.00,--,
108,Sunday Aug 7,boxscore,PIT,@,BAL,W,8,1,,44-64,4,16.0,Wilson,Watkins,,2:58,D,16714,.00,+,
109,Monday Aug 8,boxscore,PIT,@,ARI,L,0,3,,44-65,5,16.5,Gallen,Banuelos,Kennedy,2:36,N,11275,.00,-,
110,Tuesday Aug 9,boxscore,PIT,@,ARI,L,4,6,,44-66,5,16.5,Henry,Thompson,Melancon,3:00,N,12901,.00,--,
111,Wednesday Aug 10,boxscore,PIT,@,ARI,W,6,4,,45-66,4,16.5,Keller,Bumgarner,Stout,3:12,N,12714,.00,+,
112,Thursday Aug 11,boxscore,PIT,@,ARI,L,3,9,,45-67,4,16.5,Ginkel,De Jong,,3:20,D,12725,.00,-,
113,Friday Aug 12,boxscore,PIT,@,SFG,L,3,5,,45-68,4,17.5,Rodón,Wilson,Doval,3:15,N,33328,.00,--,
114,Saturday Aug 13,boxscore,PIT,@,SFG,L,0,2,,45-69,4,17.5,Webb,Beede,Doval,2:45,N,38049,.00,---,
115,Sunday Aug 14,boxscore,PIT,@,SFG,L-wo,7,8,,45-70,5,18.5,Doval,Crowe,,3:26,D,36471,.00,----,
116,Tuesday Aug 16,boxscore,PIT,,BOS,L,3,5,,45-71,5,19.5,Pivetta,Keller,Barnes,2:37,N,19387,.00,-----,
117,Wednesday Aug 17,boxscore,PIT,,BOS,L,3,8,,45-72,5,20.5,Hill,Contreras,,2:43,N,15231,.00,------,
118,Thursday Aug 18,boxscore,PIT,,BOS,W,8,2,,46-72,5,20.5,Brubaker,Winckowski,,2:37,N,20991,.00,+,
119,Friday Aug 19,boxscore,PIT,,CIN,W-wo,5,4,,47-72,4,20.5,Crowe,Kuhnel,,2:48,N,17706,.00,++,
120,Saturday Aug 20,boxscore,PIT,,CIN,L,1,10,,47-73,5,21.5,Dunn,Beede,,3:34,N,31761,.00,-,
