Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
57,Thursday Jun 9,boxscore,TBR,,STL,W,2,1,,34-23,2,7.0,McClanahan,Mikolas,Adam,1:54,D,14892,1.00,+++,
58,Friday Jun 10,boxscore,TBR,@,MIN,L,4,9,,34-24,3,8.0,Smeltzer,Rasmussen,,2:58,N,23761,1.02,-,
59,Saturday Jun 11,boxscore,TBR,@,MIN,L,5,6,,34-25,3,9.0,Megill,Baz,Pagán,3:30,D,22741,1.00,--,
60,Sunday Jun 12,boxscore,TBR,@,MIN,W,6,0,,35-25,3,9.0,Springs,Sands,,3:17,D,25350,1.02,+,
61,Tuesday Jun 14,boxscore,TBR,@,NYY,L,0,2,,35-26,3,10.0,Cole,Kluber,Holmes,3:03,N,35692,1.10,-,
62,Wednesday Jun 15,boxscore,TBR,@,NYY,L,3,4,,35-27,3,11.0,Cortes,McClanahan,Holmes,2:58,N,35104,1.02,--,
63,Thursday Jun 16,boxscore,TBR,@,NYY,L-wo,1,2,,35-28,3,12.0,King,Armstrong,,2:38,N,39469,.99,---,
64,Friday Jun 17,boxscore,TBR,@,BAL,L,0,1,,35-29,3,13.0,Bautista,Faucher,López,2:49,N,13140,.88,----,
65,Saturday Jun 18,boxscore,TBR,@,BAL,W,7,6,,36-29,3,13.0,Faucher,Tate,Poche,3:51,D,15426,.85,+,
66,Sunday Jun 19,boxscore,TBR,@,BAL,L,1,2,,36-30,3,13.0,Vespi,Kluber,López,2:55,D,23004,.89,-,
67,Monday Jun 20,boxscore,TBR,,NYY,L,2,4,,36-31,4,14.0,Peralta,Adam,,3:12,N,16504,.90,--,
68,Tuesday Jun 21,boxscore,TBR,,NYY,W,5,4,,37-31,4,13.0,Armstrong,Cortes,Poche,2:42,N,20688,.85,+,
69,Wednesday Jun 22,boxscore,TBR,,NYY,L,4,5,,37-32,4,14.0,Schmidt,Garza,Holmes,3:35,N,12264,.91,-,
70,Friday Jun 24,boxscore,TBR,,PIT,W-wo,4,3,10,38-32,4,13.5,Adam,De Los Santos,,3:14,N,10542,.79,+,
71,Saturday Jun 25,boxscore,TBR,,PIT,W-wo,6,5,,39-32,4,12.5,Garza,Bednar,,3:09,D,15203,.81,++,
72,Sunday Jun 26,boxscore,TBR,,PIT,W,4,2,,40-32,3,12.5,McClanahan,Beede,Raley,2:57,D,13364,.81,+++,
73,Tuesday Jun 28,boxscore,TBR,,MIL,L,3,5,,40-33,4,14.0,Woodruff,Wisler,Hader,3:21,N,13742,.79,-,
74,Wednesday Jun 29,boxscore,TBR,,MIL,L,3,5,,40-34,4,15.0,Boxberger,Faucher,Hader,4:00,D,15481,.82,--,
