Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
60,Monday Jun 13,boxscore,DET,,CHW,L,5,9,,24-36,4,10.5,Sousa,García,,3:20,N,16634,.30,--,
61,Tuesday Jun 14,boxscore,DET,,CHW,L,1,5,,24-37,4,10.5,Cease,Hutchison,,3:20,N,16450,.26,---,
62,Wednesday Jun 15,boxscore,DET,,CHW,L,0,13,,24-38,4,11.5,Martin,Faedo,,2:51,D,20726,.22,----,
63,Thursday Jun 16,boxscore,DET,,TEX,L,1,3,,24-39,4,12.0,Santana,Soto,Barlow,2:50,N,17448,.16,-----,
64,Friday Jun 17,boxscore,DET,,TEX,L,0,7,,24-40,4,12.0,Gray,Skubal,,3:01,N,21996,.13,------,
65,Saturday Jun 18,boxscore,DET,,TEX,W,14,7,,25-40,4,12.0,García,Hearn,,2:57,D,28179,.10,+,
66,Sunday Jun 19,boxscore,DET,,TEX,W,7,3,,26-40,4,11.0,Lange,Dunning,,3:09,D,25919,.14,++,
67,Monday Jun 20,boxscore,DET,@,BOS,L,2,5,,26-41,4,11.5,Winckowski,Faedo,Houck,2:55,N,34811,.17,-,
68,Tuesday Jun 21,boxscore,DET,@,BOS,L,4,5,,26-42,4,11.5,Hill,Brieske,Schreiber,2:53,N,29168,.12,--,
69,Wednesday Jun 22,boxscore,DET,@,BOS,L,2,6,,26-43,4,12.5,Wacha,Skubal,,3:03,N,35180,.10,---,
70,Friday Jun 24,boxscore,DET,@,ARI,W,5,1,,27-43,4,11.0,García,Kelly,,2:46,N,22064,.07,+,
71,Saturday Jun 25,boxscore,DET,@,ARI,W,6,3,,28-43,4,11.0,Alexander,Mantiply,Soto,2:54,N,23129,.09,++,
72,Sunday Jun 26,boxscore,DET,@,ARI,L,7,11,,28-44,4,12.0,Wendelken,Vest,,3:36,D,22529,.11,-,
73,Tuesday Jun 28,boxscore,DET,@,SFG,L,3,4,,28-45,4,13.0,Rodón,Skubal,Doval,3:16,N,28004,.08,--,
74,Wednesday Jun 29,boxscore,DET,@,SFG,W,3,2,,29-45,4,12.0,García,Wood,Soto,2:49,D,26576,.08,+,
75,Friday Jul 1,boxscore,DET,,KCR,L,1,3,,29-46,4,12.5,Keller,Pineda,Barlow,2:50,N,24349,.11,-,
76,Saturday Jul 2,boxscore,DET,,KCR,W-wo,4,3,,30-46,4,12.5,Jiménez,Payamps,,2:54,D,23502,.07,+,
77,Sunday Jul 3,boxscore,DET,,KCR,L,4,7,,30-47,4,12.5,Cuas,Skubal,Barlow,3:33,D,21625,.09,-,
