Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
61,Saturday Jun 11,boxscore,MIN,,TBR,W,6,5,,35-26,1,up 4.0,Megill,Baz,Pagán,3:30,D,22741,1.22,++,
62,Sunday Jun 12,boxscore,MIN,,TBR,L,0,6,,35-27,1,up 3.0,Springs,Sands,,3:17,D,25350,1.23,-,
63,Monday Jun 13,boxscore,MIN,@,SEA,W,3,2,,36-27,1,up 3.5,Thielbar,Flexen,Pagán,3:10,N,12749,1.20,+,
64,Tuesday Jun 14,boxscore,MIN,@,SEA,L,0,5,,36-28,1,up 2.5,Gilbert,Ryan,,2:36,N,13019,1.23,-,
65,Wednesday Jun 15,boxscore,MIN,@,SEA,W,5,0,,37-28,1,up 2.5,Jax,Gonzales,,3:00,D,15329,1.23,+,
66,Friday Jun 17,boxscore,MIN,@,ARI,L,2,7,,37-29,1,up 1.0,Bumgarner,Smeltzer,,2:40,N,26351,1.18,-,
67,Saturday Jun 18,boxscore,MIN,@,ARI,W,11,1,,38-29,1,up 2.0,Bundy,Weaver,,2:40,N,24338,1.13,+,
68,Sunday Jun 19,boxscore,MIN,@,ARI,L,1,7,,38-30,1,up 1.0,Kelly,Archer,,2:51,D,30690,1.17,-,
69,Tuesday Jun 21,boxscore,MIN,,CLE,L,5,6,11,38-31,1,Tied,Stephan,Jax,Clase,3:46,N,22341,1.34,--,
70,Wednesday Jun 22,boxscore,MIN,,CLE,L,10,11,,38-32,2,1.0,Hentges,Jax,Clase,3:35,N,25604,1.34,---,
71,Thursday Jun 23,boxscore,MIN,,CLE,W,1,0,,39-32,1,Tied,Smeltzer,Plesac,Thielbar,2:54,D,24929,1.31,+,
72,Friday Jun 24,boxscore,MIN,,COL,L,0,1,,39-33,1,Tied,Márquez,Bundy,Bard,2:17,N,24643,1.09,-,
73,Saturday Jun 25,boxscore,MIN,,COL,W,6,0,,40-33,1,up 1.0,Archer,Senzatela,,2:54,N,24578,1.10,+,
74,Sunday Jun 26,boxscore,MIN,,COL,W,6,3,,41-33,1,up 2.0,Ryan,Feltner,Duran,3:06,D,28048,1.08,++,
75,Monday Jun 27,boxscore,MIN,@,CLE,W,11,1,,42-33,1,up 3.0,Gray,McKenzie,,2:55,N,12554,1.36,+++,
76,Tuesday Jun 28 (1),boxscore,MIN,@,CLE,L,2,3,,42-34,1,up 3.0,Hentges,Pagán,Clase,2:59,D,12442,1.39,-,
77,Tuesday Jun 28 (2),boxscore,MIN,@,CLE,W,6,0,,43-34,1,up 3.0,Winder,Pilkington,,3:00,N,12145,1.36,+,
78,Wednesday Jun 29,boxscore,MIN,@,CLE,L-wo,6,7,10,43-35,1,up 2.0,Morgan,Cotton,,3:19,N,12840,1.38,-,
79,Thursday Jun 30,boxscore,MIN,@,CLE,L-wo,3,5,,43-36,1,up 1.0,Clase,Thornburg,,3:19,D,17066,1.38,--,
80,Friday Jul 1,boxscore,MIN,,BAL,W-wo,3,2,,44-36,1,up 1.5,Minaya,López,,2:41,N,25540,1.10,+,
81,Saturday Jul 2,boxscore,MIN,,BAL,W-wo,4,3,,45-36,1,up 3.0,Pagán,López,,3:01,D,20618,1.09,++,
82,Sunday Jul 3,boxscore,MIN,,BAL,L,1,3,,45-37,1,up 2.0,Wells,Smeltzer,Tate,2:48,D,24424,1.06,-,
83,Monday Jul 4,boxscore,MIN,@,CHW,W,6,3,10,46-37,1,up 3.5,Pagán,Kelly,,3:13,N,32483,1.17,+,
84,Tuesday Jul 5,boxscore,MIN,@,CHW,W,8,2,,47-37,1,up 4.5,Winder,Kopech,,2:59,N,18566,1.14,++,
85,Wednesday Jul 6,boxscore,MIN,@,CHW,L-wo,8,9,10,47-38,1,up 4.5,Ruiz,Moran,,3:47,D,18393,1.06,-,
86,Friday Jul 8,boxscore,MIN,@,TEX,L,5,6,,47-39,1,up 4.5,Gray,Gray,Martin,3:22,N,30392,.99,--,
87,Saturday Jul 9,boxscore,MIN,@,TEX,L,7,9,,47-40,1,up 3.5,Moore,Duran,Martin,3:19,D,35427,.93,---,
88,Sunday Jul 10,boxscore,MIN,@,TEX,W,6,5,,48-40,1,up 4.5,Bundy,Burke,Duffey,3:12,D,24751,1.01,+,
89,Tuesday Jul 12,boxscore,MIN,,MIL,L,3,6,,48-41,1,up 3.5,Gustave,Winder,Hader,3:02,N,37183,.92,-,
90,Wednesday Jul 13,boxscore,MIN,,MIL,W-wo,4,1,,49-41,1,up 4.5,Duran,Hader,,3:20,D,38802,.92,+,
91,Thursday Jul 14,boxscore,MIN,,CHW,L,2,12,,49-42,1,up 3.5,Cueto,Gray,,3:19,N,26907,1.03,-,
92,Friday Jul 15,boxscore,MIN,,CHW,L,2,6,,49-43,1,up 2.5,Kopech,Pagán,,3:09,N,27021,1.13,--,
93,Saturday Jul 16,boxscore,MIN,,CHW,W,6,3,,50-43,1,up 2.5,Bundy,Lynn,Duran,3:12,D,28514,1.16,+,
94,Sunday Jul 17,boxscore,MIN,,CHW,L,0,11,,50-44,1,up 2.0,Cease,Archer,,3:09,D,23225,1.17,-,
95,Saturday Jul 23,boxscore,MIN,@,DET,W,8,4,,51-44,1,up 2.0,Ryan,Pineda,,3:21,N,34205,.97,+,
96,Sunday Jul 24,boxscore,MIN,@,DET,W,9,1,,52-44,1,up 3.0,Gray,García,,3:10,D,23570,.95,++,
97,Tuesday Jul 26,boxscore,MIN,@,MIL,L-wo,6,7,,52-45,1,up 2.5,Hader,Duffey,,3:30,N,28596,.87,-,
98,Wednesday Jul 27,boxscore,MIN,@,MIL,L,4,10,,52-46,1,up 1.5,Burnes,Archer,,3:27,D,35914,.97,--,
99,Friday Jul 29,boxscore,MIN,@,SDP,L,1,10,,52-47,1,up 1.0,Snell,Ryan,,2:47,N,43171,.96,---,
100,Saturday Jul 30,boxscore,MIN,@,SDP,W,7,4,,53-47,1,up 2.0,Gray,Musgrove,,3:34,D,39574,.95,+,
101,Sunday Jul 31,boxscore,MIN,@,SDP,L,2,3,,53-48,1,up 1.0,Manaea,Bundy,García,2:45,D,37336,.94,-,
102,Monday Aug 1,boxscore,MIN,,DET,W-wo,5,3,10,54-48,1,up 1.0,Jax,Lange,,3:17,N,20231,.98,+,
103,Tuesday Aug 2,boxscore,MIN,,DET,L,3,5,,54-49,1,up 1.0,Foley,Jax,Soto,3:10,N,23394,.96,-,
