Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
63,Friday Jun 17,boxscore,KCR,@,OAK,W,5,1,,22-41,5,13.5,Lynch,Montas,,3:28,N,8772,.06,++,
64,Saturday Jun 18,boxscore,KCR,@,OAK,W,2,0,,23-41,5,13.5,Keller,Irvin,Barlow,2:46,D,10936,.06,+++,
65,Sunday Jun 19,boxscore,KCR,@,OAK,L,0,4,,23-42,5,13.5,Koenig,Singer,,2:46,D,14341,.09,-,
66,Monday Jun 20,boxscore,KCR,@,LAA,W,6,2,,24-42,5,13.0,Bubic,Syndergaard,,2:58,N,22234,.07,+,
67,Tuesday Jun 21,boxscore,KCR,@,LAA,W,12,11,11,25-42,5,12.0,Coleman,Quijada,Mengden,4:14,N,20189,.09,++,
68,Wednesday Jun 22,boxscore,KCR,@,LAA,L,0,5,,25-43,5,13.0,Ohtani,Lynch,,3:04,N,34792,.10,-,
69,Friday Jun 24,boxscore,KCR,,OAK,W,3,1,,26-43,5,11.5,Greinke,Irvin,Barlow,2:22,N,25077,.07,+,
70,Saturday Jun 25,boxscore,KCR,,OAK,L,7,9,,26-44,5,12.5,Jackson,Keller,Trivino,3:46,D,13543,.09,-,
71,Sunday Jun 26,boxscore,KCR,,OAK,L,3,5,,26-45,5,13.5,Acevedo,Singer,Trivino,2:43,D,24820,.06,--,
72,Monday Jun 27,boxscore,KCR,,TEX,L,4,10,,26-46,5,14.5,Pérez,Bubic,,3:10,N,12876,.05,---,
73,Tuesday Jun 28,boxscore,KCR,,TEX,L,3,8,,26-47,5,15.0,Gray,Heasley,,2:51,N,19593,.04,----,
74,Wednesday Jun 29,boxscore,KCR,,TEX,W,2,1,,27-47,5,14.0,Greinke,Dunning,Barlow,2:18,D,11391,.03,+,
75,Friday Jul 1,boxscore,KCR,@,DET,W,3,1,,28-47,5,13.5,Keller,Pineda,Barlow,2:50,N,24349,.05,++,
76,Saturday Jul 2,boxscore,KCR,@,DET,L-wo,3,4,,28-48,5,14.5,Jiménez,Payamps,,2:54,D,23502,.04,-,
77,Sunday Jul 3,boxscore,KCR,@,DET,W,7,4,,29-48,5,13.5,Cuas,Skubal,Barlow,3:33,D,21625,.05,+,
78,Monday Jul 4,boxscore,KCR,@,HOU,L-wo,6,7,,29-49,5,14.5,Stanek,Barlow,,3:19,D,33936,.05,-,
79,Tuesday Jul 5,boxscore,KCR,@,HOU,L,7,9,,29-50,5,15.5,Garcia,Greinke,Montero,3:04,N,28762,.04,--,
80,Wednesday Jul 6,boxscore,KCR,@,HOU,W,7,4,,30-50,5,14.5,Keller,Javier,Barlow,3:29,N,26534,.03,+,
81,Thursday Jul 7,boxscore,KCR,@,HOU,L,2,5,,30-51,5,15.0,Verlander,Bubic,Pressly,3:04,D,36067,.04,-,
82,Friday Jul 8,boxscore,KCR,,CLE,W-wo,4,3,,31-51,5,14.0,Barlow,Hentges,,2:44,N,19611,.04,+,
83,Saturday Jul 9,boxscore,KCR,,CLE,L,1,13,,31-52,5,14.0,McKenzie,Heasley,,3:10,D,17024,.04,-,
84,Sunday Jul 10,boxscore,KCR,,CLE,W,5,1,,32-52,5,14.0,Greinke,Plesac,,2:48,D,13282,.04,+,
85,Monday Jul 11 (1),boxscore,KCR,,DET,W,3,1,,33-52,5,13.0,Keller,Pineda,Barlow,2:30,D,11084,.04,++,
86,Monday Jul 11 (2),boxscore,KCR,,DET,W,7,3,,34-52,5,13.0,Zerpa,Faedo,,3:00,N,16202,.05,+++,
87,Tuesday Jul 12,boxscore,KCR,,DET,L,5,7,,34-53,5,13.0,Brieske,Cuas,Soto,3:08,N,14451,.05,-,
88,Wednesday Jul 13,boxscore,KCR,,DET,W,5,2,,35-53,5,13.0,Singer,Skubal,Barlow,2:44,D,11016,.05,+,
89,Thursday Jul 14,boxscore,KCR,@,TOR,W,3,1,,36-53,5,12.0,Zerpa,Gausman,Barlow,3:00,N,24426,.05,++,
90,Friday Jul 15,boxscore,KCR,@,TOR,L,1,8,,36-54,5,12.0,Manoah,Greinke,,2:48,N,26422,.08,-,
91,Saturday Jul 16,boxscore,KCR,@,TOR,L-wo,5,6,10,36-55,5,13.0,Romano,Payamps,,3:29,D,40135,.05,--,
92,Sunday Jul 17,boxscore,KCR,@,TOR,L,2,4,,36-56,5,13.0,Mayza,Mills,Romano,2:21,D,36681,.03,---,
