Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
72,Friday Jun 24,boxscore,ATL,,LAD,L,1,4,,41-31,2,5.0,Urías,Anderson,Kimbrel,3:09,N,42105,1.25,-,
73,Saturday Jun 25,boxscore,ATL,,LAD,W,5,3,,42-31,2,5.0,Minter,Graterol,Jansen,3:12,N,42161,1.18,+,
74,Sunday Jun 26,boxscore,ATL,,LAD,L,3,5,11,42-32,2,5.0,Kimbrel,O'Day,Graterol,4:23,N,42217,1.21,-,
75,Tuesday Jun 28,boxscore,ATL,@,PHI,W,5,3,,43-32,2,4.0,McHugh,Bellatti,Minter,3:18,N,27725,1.31,+,
76,Wednesday Jun 29,boxscore,ATL,@,PHI,W,4,1,,44-32,2,3.0,Wright,Suárez,Smith,2:47,N,25621,1.34,++,
77,Thursday Jun 30,boxscore,ATL,@,PHI,L,4,14,,44-33,2,3.5,Nola,Anderson,,2:58,N,30131,1.38,-,
78,Friday Jul 1,boxscore,ATL,@,CIN,W,9,1,,45-33,2,3.5,Fried,Minor,,2:52,N,28606,1.18,+,
79,Saturday Jul 2,boxscore,ATL,@,CIN,W,4,1,,46-33,2,2.5,Strider,Mahle,Smith,3:14,D,26755,1.20,++,
80,Sunday Jul 3,boxscore,ATL,@,CIN,L-wo,3,4,,46-34,2,3.5,Strickland,Minter,,2:49,D,21418,1.20,-,
81,Monday Jul 4,boxscore,ATL,,STL,W,6,3,,47-34,2,3.5,O'Day,Hudson,Smith,3:01,N,41975,1.34,+,
82,Tuesday Jul 5,boxscore,ATL,,STL,W,7,1,,48-34,2,2.5,Anderson,Pallante,,3:07,N,35656,1.29,++,
83,Wednesday Jul 6,boxscore,ATL,,STL,W,3,0,,49-34,2,2.5,Fried,Mikolas,Minter,2:32,N,36718,1.29,+++,
84,Thursday Jul 7,boxscore,ATL,,STL,L,2,3,11,49-35,2,3.5,Helsley,Matzek,Naughton,3:50,N,37756,1.21,-,
85,Friday Jul 8,boxscore,ATL,,WSN,W,12,2,,50-35,2,2.5,Morton,Fedde,,2:51,N,41725,1.13,+,
86,Saturday Jul 9,boxscore,ATL,,WSN,W,4,3,,51-35,2,2.5,Wright,Corbin,Minter,2:36,D,40632,1.13,++,
87,Sunday Jul 10,boxscore,ATL,,WSN,W-wo,4,3,12,52-35,2,1.5,McHugh,Weems,,3:53,D,32053,1.12,+++,
88,Monday Jul 11,boxscore,ATL,,NYM,L,1,4,,52-36,2,2.5,Scherzer,Fried,Díaz,3:03,N,42925,1.54,-,
89,Tuesday Jul 12,boxscore,ATL,,NYM,W,4,1,,53-36,2,1.5,Matzek,Peterson,Minter,3:04,N,42217,1.54,+,
90,Wednesday Jul 13,boxscore,ATL,,NYM,L,3,7,,53-37,2,2.5,Bassitt,Morton,,3:05,D,34879,1.55,-,
91,Thursday Jul 14,boxscore,ATL,@,WSN,W,5,4,,54-37,2,2.5,Wright,Sánchez,Jansen,2:54,N,25577,1.10,+,
92,Friday Jul 15,boxscore,ATL,@,WSN,W,8,4,,55-37,2,2.0,Anderson,Corbin,Minter,3:32,N,30409,1.07,++,
93,Saturday Jul 16,boxscore,ATL,@,WSN,W,6,3,,56-37,2,2.5,Fried,Espino,Jansen,2:47,D,37880,1.06,+++,
94,Sunday Jul 17,boxscore,ATL,@,WSN,L,3,7,,56-38,2,2.5,Cishek,Strider,,2:54,D,26043,.99,-,
95,Friday Jul 22,boxscore,ATL,,LAA,W,8,1,,57-38,2,1.5,Lee,Ohtani,,2:59,N,42867,1.03,+,
96,Saturday Jul 23,boxscore,ATL,,LAA,W,7,2,,58-38,2,0.5,Wright,Sandoval,,3:01,N,42827,1.01,++,
97,Sunday Jul 24,boxscore,ATL,,LAA,L,1,9,,58-39,2,1.5,Detmers,Anderson,,3:17,D,42663,1.02,-,
98,Monday Jul 25,boxscore,ATL,@,PHI,L,4,6,,58-40,2,2.0,Bellatti,Minter,Domínguez,3:16,N,25452,1.14,--,
99,Tuesday Jul 26,boxscore,ATL,@,PHI,W,6,3,,59-40,2,2.0,Strider,Nola,Jansen,3:10,N,27486,1.13,+,
100,Wednesday Jul 27,boxscore,ATL,@,PHI,L,2,7,,59-41,2,3.0,Gibson,Morton,,2:54,D,29038,1.04,-,
101,Friday Jul 29,boxscore,ATL,,ARI,W,5,2,,60-41,2,3.0,Wright,Bumgarner,Jansen,2:40,N,41536,1.00,+,
102,Saturday Jul 30,boxscore,ATL,,ARI,W,6,2,,61-41,2,3.0,Anderson,Martin,,2:51,N,41682,.98,++,
103,Sunday Jul 31,boxscore,ATL,,ARI,W-wo,1,0,,62-41,2,3.0,Jansen,Melancon,,2:52,D,39005,.92,+++,
104,Tuesday Aug 2,boxscore,ATL,,PHI,W,13,1,,63-41,2,2.5,Strider,Nelson,,3:27,N,38932,.96,++++,
105,Wednesday Aug 3,boxscore,ATL,,PHI,L,1,3,,63-42,2,3.5,Wheeler,McHugh,Robertson,2:40,D,30380,.99,-,
106,Thursday Aug 4,boxscore,ATL,@,NYM,L,4,6,,63-43,2,4.5,Carrasco,Wright,Díaz,2:49,N,38693,1.32,--,
107,Friday Aug 5,boxscore,ATL,@,NYM,W,9,6,,64-43,2,3.5,Minter,Walker,,3:38,N,40305,1.27,+,
108,Saturday Aug 6 (1),boxscore,ATL,@,NYM,L,5,8,,64-44,2,5.5,Peterson,Odorizzi,Díaz,3:53,D,37790,1.36,-,
