Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
115,Tuesday Aug 16,boxscore,STL,,COL,W-wo,5,4,,64-51,1,up 2.0,Helsley,Lamet,,3:08,N,39105,.81,++,
116,Wednesday Aug 17,boxscore,STL,,COL,W,5,1,,65-51,1,up 3.0,Montgomery,Márquez,,3:06,N,38033,.79,+++,
117,Thursday Aug 18,boxscore,STL,,COL,W,13,0,,66-51,1,up 3.0,Wainwright,Senzatela,,2:45,D,36137,.74,++++,
118,Friday Aug 19,boxscore,STL,@,ARI,W,5,1,,67-51,1,up 4.0,Mikolas,Henry,,2:52,N,32183,.70,+++++,
119,Saturday Aug 20,boxscore,STL,@,ARI,W,16,7,,68-51,1,up 5.0,Cabrera,Bumgarner,,3:43,N,34248,.60,++++++,
120,Sunday Aug 21,boxscore,STL,@,ARI,W,6,4,,69-51,1,up 5.0,Woodford,Mantiply,Gallegos,3:35,D,25064,.52,+++++++,
121,Monday Aug 22,boxscore,STL,@,CHC,W,1,0,,70-51,1,up 5.0,Montgomery,Smyly,,2:16,N,29719,.49,++++++++,
122,Tuesday Aug 23 (1),boxscore,STL,@,CHC,L,0,2,,70-52,1,up 5.5,Rucker,Wainwright,Hughes,3:09,D,27273,.50,-,
123,Tuesday Aug 23 (2),boxscore,STL,@,CHC,W,13,3,,71-52,1,up 5.5,Woodford,Sampson,,3:15,N,28163,.53,+,
124,Wednesday Aug 24,boxscore,STL,@,CHC,L,1,7,,71-53,1,up 5.5,Wick,Mikolas,,2:46,N,32012,.45,-,
125,Thursday Aug 25,boxscore,STL,@,CHC,W,8,3,,72-53,1,up 6.0,Hudson,Stroman,,2:52,D,28803,.44,+,
126,Friday Aug 26,boxscore,STL,,ATL,L,4,11,,72-54,1,up 6.0,Strider,Quintana,,3:43,N,46027,.39,-,
127,Saturday Aug 27,boxscore,STL,,ATL,W-wo,6,5,,73-54,1,up 6.0,Helsley,Jansen,,3:20,N,46119,.38,+,
128,Sunday Aug 28,boxscore,STL,,ATL,W,6,3,,74-54,1,up 6.0,Helsley,Minter,Gallegos,3:06,N,42897,.38,++,
129,Monday Aug 29,boxscore,STL,@,CIN,W,13,4,,75-54,1,up 6.0,Stratton,Anderson,,3:01,N,11051,.36,+++,
130,Tuesday Aug 30,boxscore,STL,@,CIN,L,1,5,,75-55,1,up 6.0,Law,Hudson,,2:33,N,13271,.35,-,
131,Wednesday Aug 31,boxscore,STL,@,CIN,W,5,3,13,76-55,1,up 6.0,Pallante,Anderson,,4:48,N,13613,.38,+,
132,Friday Sep 2,boxscore,STL,,CHC,W,8,0,,77-55,1,up 7.5,Montgomery,Sampson,,3:06,N,44491,.32,++,
133,Saturday Sep 3,boxscore,STL,,CHC,W,8,4,,78-55,1,up 7.5,Wainwright,Smyly,,3:02,N,47816,.26,+++,
134,Sunday Sep 4,boxscore,STL,,CHC,W,2,0,,79-55,1,up 8.5,Mikolas,Hughes,Helsley,2:22,D,46642,.26,++++,
135,Monday Sep 5,boxscore,STL,,WSN,L,0,6,,79-56,1,up 7.5,Sánchez,Flaherty,Thompson,3:05,D,45779,.24,-,
136,Tuesday Sep 6,boxscore,STL,,WSN,W,4,1,,80-56,1,up 8.5,Quintana,Espino,Helsley,2:49,N,37629,.23,+,
137,Wednesday Sep 7,boxscore,STL,,WSN,W-wo,6,5,,81-56,1,up 9.5,Woodford,Finnegan,,3:18,N,34715,.21,++,
138,Thursday Sep 8,boxscore,STL,,WSN,L,6,11,,81-57,1,up 8.0,Thompson,Pallante,,3:57,D,40437,.17,-,
139,Friday Sep 9,boxscore,STL,@,PIT,L,2,8,,81-58,1,up 8.0,Contreras,Mikolas,,3:12,N,15718,.17,--,
140,Saturday Sep 10,boxscore,STL,@,PIT,W,7,5,,82-58,1,up 8.0,Gallegos,Crowe,Helsley,3:14,N,22042,.16,+,
141,Sunday Sep 11,boxscore,STL,@,PIT,W,4,3,,83-58,1,up 8.0,Stratton,De Jong,Helsley,2:40,D,10398,.14,++,
142,Tuesday Sep 13,boxscore,STL,,MIL,L,4,8,,83-59,1,up 7.0,Perdomo,Montgomery,,3:07,N,42047,.20,-,
143,Wednesday Sep 14,boxscore,STL,,MIL,W,4,1,,84-59,1,up 8.0,Wainwright,Burnes,Helsley,3:10,N,46459,.24,+,
144,Thursday Sep 15,boxscore,STL,,CIN,L,2,3,,84-60,1,up 7.5,Anderson,Mikolas,Díaz,2:45,N,44901,.19,-,
145,Friday Sep 16,boxscore,STL,,CIN,W,6,5,,85-60,1,up 7.5,Stratton,Gibaut,Helsley,3:17,N,47118,.13,+,
146,Saturday Sep 17 (1),boxscore,STL,,CIN,W,5,1,,86-60,1,up 8.0,Hudson,Minor,,2:45,D,46678,.11,++,
147,Saturday Sep 17 (2),boxscore,STL,,CIN,W-wo,1,0,11,87-60,1,up 8.0,Matz,Cruz,,3:11,N,48299,.11,+++,
148,Sunday Sep 18,boxscore,STL,,CIN,L,0,3,,87-61,1,up 8.0,Cessa,Montgomery,Farmer,2:50,D,47909,.09,-,
149,Tuesday Sep 20,boxscore,STL,@,SDP,L,0,5,,87-62,1,up 8.5,Clevinger,Wainwright,,2:56,N,39538,.04,--,
150,Wednesday Sep 21,boxscore,STL,@,SDP,L,0,1,,87-63,1,up 7.5,Snell,Mikolas,Hader,2:55,N,38643,.03,---,
151,Thursday Sep 22,boxscore,STL,@,SDP,W,5,4,,88-63,1,up 7.5,Flaherty,Martinez,Gallegos,3:03,D,33389,.04,+,
152,Friday Sep 23,boxscore,STL,@,LAD,W,11,0,,89-63,1,up 7.5,Quintana,Heaney,,2:57,N,50041,.04,++,
153,Saturday Sep 24,boxscore,STL,@,LAD,L,2,6,,89-64,1,up 6.5,Kershaw,Montgomery,,2:50,N,52527,.02,-,
154,Sunday Sep 25,boxscore,STL,@,LAD,L,1,4,,89-65,1,up 6.5,Grove,Wainwright,Jackson,2:48,D,48695,.03,--,
155,Tuesday Sep 27,boxscore,STL,@,MIL,W,6,2,,90-65,1,up 7.5,Mikolas,Houser,,3:13,N,29341,.02,+,
156,Wednesday Sep 28,boxscore,STL,@,MIL,L,1,5,,90-66,1,up 6.5,Woodruff,Quintana,,3:31,N,28835,.01,-,
157,Friday Sep 30,boxscore,STL,,PIT,W,2,1,,91-66,1,up 7.0,Flaherty,Oviedo,Helsley,3:01,N,47032,.01,+,
158,Saturday Oct 1,boxscore,STL,,PIT,W,13,3,,92-66,1,up 8.0,Montgomery,Ortiz,,3:01,N,46365,.01,++,
159,Sunday Oct 2,boxscore,STL,,PIT,L,5,7,,92-67,1,up 8.0,De Jong,Wainwright,Bednar,3:18,D,46680,.01,-,
160,Monday Oct 3,boxscore,STL,@,PIT,L-wo,2,3,,92-68,1,up 7.0,Ramirez,Gallegos,,3:10,N,12702,.01,--,
161,Tuesday Oct 4,boxscore,STL,@,PIT,W,8,7,10,93-68,1,up 7.0,Stratton,De Jong,,3:53,N,12842,.02,+,
162,Wednesday Oct 5,boxscore,STL,@,PIT,L,3,5,,93-69,1,up 7.0,Banuelos,Liberatore,Ramirez,2:42,D,15319,.01,-,
