Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
107,Saturday Aug 6,boxscore,CHW,@,TEX,L,0,8,,54-53,3,3.0,Dunning,Kopech,,3:00,N,38275,.89,-,
108,Sunday Aug 7,boxscore,CHW,@,TEX,W,8,2,,55-53,3,2.0,Giolito,Howard,,3:27,D,29579,.83,+,
109,Tuesday Aug 9 (1),boxscore,CHW,@,KCR,L,2,4,,55-54,3,1.5,Singer,Lynn,Cuas,2:36,D,,.86,-,
110,Tuesday Aug 9 (2),boxscore,CHW,@,KCR,W,3,2,,56-54,3,1.5,Martin,Heasley,Hendriks,2:54,D,12700,.81,+,
111,Wednesday Aug 10,boxscore,CHW,@,KCR,L,3,8,,56-55,3,2.5,Staumont,Diekman,,3:19,N,15463,.90,-,
112,Thursday Aug 11,boxscore,CHW,@,KCR,L,3,5,,56-56,3,3.5,Greinke,Cease,Barlow,3:11,D,10009,.86,--,
113,Friday Aug 12,boxscore,CHW,,DET,W,2,0,,57-56,3,3.5,López,Lange,Hendriks,2:53,N,33015,.79,+,
114,Saturday Aug 13,boxscore,CHW,,DET,W,6,4,,58-56,3,2.5,Giolito,Jiménez,Hendriks,2:46,N,29458,.79,++,
115,Sunday Aug 14,boxscore,CHW,,DET,W,5,3,,59-56,2,2.5,Lynn,Alexander,Graveman,2:57,D,32154,.88,+++,
116,Monday Aug 15,boxscore,CHW,,HOU,W,4,2,,60-56,2,2.0,Cueto,Montero,Hendriks,2:33,N,18205,.98,++++,
117,Tuesday Aug 16,boxscore,CHW,,HOU,W,4,3,,61-56,2,1.0,Lambert,Neris,Hendriks,3:10,N,23476,1.02,+++++,
118,Wednesday Aug 17,boxscore,CHW,,HOU,L,2,3,,61-57,3,2.0,Valdez,Kopech,Pressly,3:06,N,24671,1.05,-,
119,Thursday Aug 18,boxscore,CHW,,HOU,L,5,21,,61-58,3,2.5,Garcia,Giolito,,3:53,D,24407,.96,--,
120,Friday Aug 19,boxscore,CHW,@,CLE,L,2,5,,61-59,3,3.5,McKenzie,López,Clase,3:14,N,25521,1.14,---,
121,Saturday Aug 20,boxscore,CHW,@,CLE,W,2,0,,62-59,3,2.5,Cueto,Bieber,Hendriks,2:39,N,26179,1.03,+,
122,Monday Aug 22,boxscore,CHW,@,KCR,L,4,6,,62-60,3,3.0,Garrett,Kelly,Barlow,3:36,D,8471,.94,-,
123,Tuesday Aug 23,boxscore,CHW,@,BAL,L,3,5,,62-61,3,4.0,Voth,Cease,Bautista,3:36,N,12954,.96,--,
124,Wednesday Aug 24,boxscore,CHW,@,BAL,W,5,3,,63-61,2,4.0,Giolito,Watkins,,3:24,N,12565,.83,+,
125,Thursday Aug 25,boxscore,CHW,@,BAL,L-wo,3,4,11,63-62,2,4.0,Bautista,Diekman,,3:29,N,13905,.92,-,
126,Friday Aug 26,boxscore,CHW,,ARI,L,2,7,,63-63,3,4.0,Henry,Cueto,,2:40,N,33054,.72,--,
127,Saturday Aug 27,boxscore,CHW,,ARI,L,5,10,,63-64,3,5.0,Kelly,Martin,,3:32,N,25837,.63,---,
128,Sunday Aug 28,boxscore,CHW,,ARI,L,2,3,,63-65,3,5.0,Ramirez,Graveman,Kennedy,2:50,D,29781,.49,----,
129,Tuesday Aug 30,boxscore,CHW,,KCR,L,7,9,,63-66,3,6.0,Cuas,Giolito,,3:21,N,17130,.40,-----,
130,Wednesday Aug 31,boxscore,CHW,,KCR,W,4,2,,64-66,3,5.0,Lynn,Bubic,Hendriks,2:43,N,17168,.27,+,
131,Thursday Sep 1,boxscore,CHW,,KCR,W,7,1,,65-66,3,4.0,Cueto,Mengden,,3:22,D,15257,.35,++,
132,Friday Sep 2,boxscore,CHW,,MIN,W-wo,4,3,,66-66,3,3.0,Hendriks,López,,3:17,N,24818,.55,+++,
133,Saturday Sep 3,boxscore,CHW,,MIN,W,13,0,,67-66,3,2.0,Cease,Mahle,,2:21,N,31655,.75,++++,
134,Sunday Sep 4,boxscore,CHW,,MIN,L,1,5,,67-67,3,2.0,Bundy,Giolito,,3:21,D,32305,.91,-,
135,Monday Sep 5,boxscore,CHW,@,SEA,W,3,2,,68-67,3,2.0,Lynn,Gonzales,Hendriks,2:48,D,37109,.63,+,
136,Tuesday Sep 6,boxscore,CHW,@,SEA,L,0,3,,68-68,3,3.0,Gilbert,Cueto,Sewald,3:02,N,17958,.73,-,
137,Wednesday Sep 7,boxscore,CHW,@,SEA,W,9,6,,69-68,2,2.0,Bummer,Castillo,Hendriks,3:32,D,15264,.53,+,
138,Thursday Sep 8,boxscore,CHW,@,OAK,W,14,2,,70-68,2,1.5,Cease,Sears,,3:16,N,4591,.75,++,
139,Friday Sep 9,boxscore,CHW,@,OAK,W,5,3,,71-68,2,1.5,Bummer,Puk,Hendriks,2:53,N,11494,.84,+++,
140,Saturday Sep 10,boxscore,CHW,@,OAK,W,10,2,,72-68,2,1.5,Lynn,Martinez,,3:43,D,11107,.87,++++,
141,Sunday Sep 11,boxscore,CHW,@,OAK,L,3,10,,72-69,2,2.5,Irvin,Cueto,,2:44,D,11701,1.02,-,
142,Tuesday Sep 13,boxscore,CHW,,COL,W,4,2,,73-69,2,3.0,Kopech,Kuhl,Hendriks,2:40,N,23606,.72,+,
143,Wednesday Sep 14,boxscore,CHW,,COL,L,0,3,,73-70,2,4.0,Freeland,Cease,Bard,3:07,D,16654,.76,-,
144,Thursday Sep 15,boxscore,CHW,@,CLE,W,8,2,,74-70,2,3.0,Lynn,Gaddis,,3:04,D,11186,.95,+,
145,Friday Sep 16,boxscore,CHW,@,DET,L-wo,2,3,10,74-71,2,4.0,Lange,Hendriks,,3:18,N,16335,.75,-,
146,Saturday Sep 17,boxscore,CHW,@,DET,W,4,3,11,75-71,2,4.5,Hendriks,Soto,Bummer,3:29,N,17579,.58,+,
147,Sunday Sep 18,boxscore,CHW,@,DET,W,11,5,,76-71,2,3.5,Banks,Hutchison,,3:14,D,14435,.58,++,
148,Tuesday Sep 20,boxscore,CHW,,CLE,L,7,10,11,76-72,2,5.0,Clase,Diekman,,3:57,N,23242,1.03,-,
149,Wednesday Sep 21,boxscore,CHW,,CLE,L,2,8,,76-73,2,6.0,McKenzie,Lynn,,2:31,N,22606,.57,--,
150,Thursday Sep 22,boxscore,CHW,,CLE,L,2,4,,76-74,2,7.0,Bieber,Cueto,Clase,2:33,N,23395,.28,---,
151,Friday Sep 23,boxscore,CHW,,DET,L,3,5,,76-75,2,8.0,Rodriguez,López,Soto,3:04,N,33257,.07,----,
152,Saturday Sep 24,boxscore,CHW,,DET,L,2,7,,76-76,2,9.0,Hutchison,Martin,,3:01,N,36177,.02,-----,
153,Sunday Sep 25,boxscore,CHW,,DET,L,1,4,,76-77,2,10.0,Chafin,Graveman,Soto,3:04,D,33549,.00,------,
154,Tuesday Sep 27,boxscore,CHW,@,MIN,L,0,4,,76-78,2,10.0,Ober,Lynn,,2:38,N,23647,.00,-------,
155,Wednesday Sep 28,boxscore,CHW,@,MIN,L,4,8,,76-79,2,11.0,Thielbar,Cueto,,3:06,N,22332,.00,--------,
156,Thursday Sep 29,boxscore,CHW,@,MIN,W,4,3,,77-79,2,11.0,López,Thielbar,Hendriks,3:11,D,23397,.00,+,
157,Friday Sep 30,boxscore,CHW,@,SDP,W,3,1,,78-79,2,11.0,Martin,Darvish,Hendriks,3:23,N,37490,.00,++,
158,Saturday Oct 1,boxscore,CHW,@,SDP,L,2,5,,78-80,2,11.0,Clevinger,Cease,Hader,3:07,N,38114,.00,-,
159,Sunday Oct 2,boxscore,CHW,@,SDP,W,2,1,,79-80,2,11.0,Lynn,Snell,Hendriks,3:06,D,41407,.00,+,
160,Monday Oct 3,boxscore,CHW,,MIN,W,3,2,,80-80,2,10.0,Cueto,Jax,Hendriks,2:32,N,22891,.00,++,
161,Tuesday Oct 4,boxscore,CHW,,MIN,W,8,3,,81-80,2,10.0,Giolito,Winder,,2:52,N,24884,.00,+++,
162,Wednesday Oct 5,boxscore,CHW,,MIN,L,1,10,,81-81,2,11.0,Varland,Martin,Sands,2:46,D,18918,.00,-,
