Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
67,Tuesday Jun 21,boxscore,CIN,,LAD,L,2,8,,23-44,5,14.5,Gonsolin,Mahle,,2:56,N,18476,.04,-----,
68,Wednesday Jun 22,boxscore,CIN,,LAD,L,4,8,,23-45,5,15.5,Vesia,Detwiler,,3:22,N,17344,.04,------,
69,Thursday Jun 23,boxscore,CIN,,LAD,L,5,10,,23-46,5,15.5,Kershaw,Greene,,3:14,D,21989,.02,-------,
70,Friday Jun 24,boxscore,CIN,@,SFG,W,4,2,,24-46,5,14.5,Ashcraft,Cobb,Strickland,2:51,N,29178,.02,+,
71,Saturday Jun 25,boxscore,CIN,@,SFG,L,2,9,,24-47,5,15.5,Webb,Minor,,2:43,D,40115,.03,-,
72,Sunday Jun 26,boxscore,CIN,@,SFG,W,10,3,,25-47,5,15.5,Mahle,DeSclafani,,2:58,D,32285,.03,+,
73,Tuesday Jun 28,boxscore,CIN,@,CHC,W,5,3,,26-47,5,15.5,Castillo,Thompson,Strickland,3:24,N,32732,.02,++,
74,Wednesday Jun 29,boxscore,CIN,@,CHC,L,3,8,,26-48,5,16.5,Steele,Greene,,3:22,N,28987,.03,-,
75,Thursday Jun 30,boxscore,CIN,@,CHC,L,7,15,,26-49,5,16.5,Hendricks,Ashcraft,,3:14,N,32318,.02,--,
76,Friday Jul 1,boxscore,CIN,,ATL,L,1,9,,26-50,5,17.5,Fried,Minor,,2:52,N,28606,.02,---,
77,Saturday Jul 2,boxscore,CIN,,ATL,L,1,4,,26-51,5,17.5,Strider,Mahle,Smith,3:14,D,26755,.01,----,
78,Sunday Jul 3,boxscore,CIN,,ATL,W-wo,4,3,,27-51,5,17.5,Strickland,Minter,,2:49,D,21418,.01,+,
79,Monday Jul 4,boxscore,CIN,,NYM,L,4,7,,27-52,5,18.5,Walker,Greene,Lugo,3:14,N,19533,.01,-,
80,Tuesday Jul 5,boxscore,CIN,,NYM,W-wo,1,0,,28-52,5,17.5,Strickland,Lugo,,3:01,N,13487,.01,+,
81,Wednesday Jul 6,boxscore,CIN,,NYM,L,3,8,10,28-53,5,17.5,Ottavino,Moreta,,3:46,N,13540,.01,-,
82,Thursday Jul 7 (1),boxscore,CIN,,PIT,L,2,4,,28-54,5,17.5,Contreras,Minor,Bednar,2:49,D,13086,.01,--,
83,Thursday Jul 7 (2),boxscore,CIN,,PIT,W,5,1,,29-54,5,17.5,Sanmartin,Wilson,,3:01,N,9575,.01,+,
84,Friday Jul 8,boxscore,CIN,,TBR,W-wo,2,1,10,30-54,5,17.5,Kuhnel,Wisler,,3:18,N,26529,.01,++,
85,Saturday Jul 9,boxscore,CIN,,TBR,W-wo,5,4,10,31-54,5,16.5,Hoffman,Faucher,,4:00,D,33927,.01,+++,
86,Sunday Jul 10,boxscore,CIN,,TBR,W,10,5,,32-54,5,15.5,Lodolo,Baz,,3:19,D,21748,.01,++++,
87,Tuesday Jul 12,boxscore,CIN,@,NYY,W,4,3,,33-54,5,15.5,Sanmartin,Holmes,Díaz,3:21,N,40235,.02,+++++,
88,Wednesday Jul 13,boxscore,CIN,@,NYY,L-wo,6,7,10,33-55,5,15.5,King,Díaz,,3:56,N,36772,.02,-,
89,Thursday Jul 14,boxscore,CIN,@,NYY,W,7,6,10,34-55,4,15.5,Sanmartin,Luetge,Moreta,3:44,N,41311,.02,+,
90,Friday Jul 15,boxscore,CIN,@,STL,L,3,7,,34-56,5,15.5,Pallante,Greene,Helsley,3:33,N,41221,.03,-,
91,Saturday Jul 16,boxscore,CIN,@,STL,L,3,11,,34-57,4,15.5,Mikolas,Lodolo,,3:20,D,41014,.02,--,
92,Friday Jul 22,boxscore,CIN,,STL,W,9,5,,35-57,5,15.0,Sanmartin,Wainwright,,3:21,N,25547,.02,+,
