Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
69,Friday Jun 24,boxscore,MIA,,NYM,L,3,5,,32-37,4,12.5,Walker,Alcantara,Díaz,3:03,N,11444,.53,-,
70,Saturday Jun 25,boxscore,MIA,,NYM,L,3,5,,32-38,4,13.5,Bassitt,Yacabonis,Díaz,3:00,D,18722,.50,--,
71,Sunday Jun 26,boxscore,MIA,,NYM,W-wo,3,2,,33-38,4,12.5,Scott,Ottavino,,2:44,D,19343,.37,+,
72,Monday Jun 27,boxscore,MIA,@,STL,L,0,9,,33-39,4,13.0,Wainwright,López,,2:40,N,34701,.47,-,
73,Tuesday Jun 28,boxscore,MIA,@,STL,L,3,5,,33-40,4,13.0,Hudson,Garrett,Helsley,3:01,N,32065,.42,--,
74,Wednesday Jun 29,boxscore,MIA,@,STL,W,4,3,,34-40,4,12.0,Alcantara,Helsley,,2:35,N,35674,.37,+,
75,Friday Jul 1,boxscore,MIA,@,WSN,W,6,3,,35-40,4,12.0,Rogers,Gray,Scott,3:05,N,23794,.36,++,
76,Saturday Jul 2,boxscore,MIA,@,WSN,W,5,3,,36-40,4,11.0,Castano,Tetreault,Scott,3:20,D,19674,.43,+++,
77,Sunday Jul 3,boxscore,MIA,@,WSN,W,7,4,10,37-40,4,11.0,Scott,Edwards,Floro,3:51,D,25385,.47,++++,
78,Monday Jul 4,boxscore,MIA,@,WSN,W,3,2,10,38-40,4,11.0,Yacabonis,Rainey,Floro,2:53,D,25129,.56,+++++,
79,Tuesday Jul 5,boxscore,MIA,,LAA,W,2,1,,39-40,4,10.0,Alcantara,Syndergaard,Scott,2:47,N,13338,.59,++++++,
80,Wednesday Jul 6,boxscore,MIA,,LAA,L,2,5,,39-41,4,11.0,Ohtani,Rogers,,3:07,N,18741,.67,-,
81,Thursday Jul 7,boxscore,MIA,@,NYM,L,0,10,,39-42,4,12.0,Williams,Castano,,2:51,N,30555,.66,--,
82,Friday Jul 8,boxscore,MIA,@,NYM,W,5,2,,40-42,4,11.0,López,Bassitt,Scott,3:37,N,25208,.58,+,
83,Saturday Jul 9,boxscore,MIA,@,NYM,L-wo,4,5,10,40-43,4,12.0,Holderman,Scott,,3:41,D,43336,.66,-,
84,Sunday Jul 10,boxscore,MIA,@,NYM,W,2,0,10,41-43,4,11.0,Bleier,Hunter,Scott,2:57,D,34774,.57,+,
85,Monday Jul 11,boxscore,MIA,,PIT,L,1,5,,41-44,4,12.0,Keller,Rogers,De Los Santos,3:03,N,8560,.58,-,
86,Tuesday Jul 12,boxscore,MIA,,PIT,L,2,3,,41-45,4,12.0,Peters,Castano,Bednar,2:43,N,8022,.55,--,
87,Wednesday Jul 13,boxscore,MIA,,PIT,W-wo,5,4,10,42-45,4,12.0,Pop,Bednar,,3:21,N,9524,.48,+,
88,Thursday Jul 14,boxscore,MIA,,PIT,W-wo,3,2,11,43-45,4,12.0,Bleier,Crowe,,4:13,D,13612,.50,++,
89,Friday Jul 15,boxscore,MIA,,PHI,L,1,2,,43-46,4,12.5,Gibson,Alcantara,Domínguez,3:04,N,10193,.67,-,
90,Saturday Jul 16,boxscore,MIA,,PHI,L,0,10,,43-47,4,14.0,Suárez,Meyer,,2:52,D,13497,.55,--,
91,Sunday Jul 17,boxscore,MIA,,PHI,L,0,4,,43-48,4,14.0,Nola,Rogers,Alvarado,2:42,D,12450,.44,---,
92,Thursday Jul 21,boxscore,MIA,,TEX,L,0,8,,43-49,4,14.5,Gray,López,,3:06,D,9524,.33,----,
93,Friday Jul 22,boxscore,MIA,@,PIT,W,8,1,,44-49,4,13.5,Garrett,Thompson,,2:41,N,22316,.30,+,
94,Saturday Jul 23,boxscore,MIA,@,PIT,L,0,1,,44-50,4,13.5,Quintana,Scott,Bednar,3:00,N,22560,.36,-,
95,Sunday Jul 24,boxscore,MIA,@,PIT,W,6,5,10,45-50,4,13.5,Bass,Bednar,Brigham,3:07,D,15188,.30,+,
96,Monday Jul 25,boxscore,MIA,@,CIN,L,2,11,,45-51,4,14.0,Lodolo,Rogers,,3:16,N,12948,.41,-,
97,Tuesday Jul 26,boxscore,MIA,@,CIN,W,2,1,,46-51,4,14.0,López,Greene,Scott,2:45,N,14937,.36,+,
98,Wednesday Jul 27,boxscore,MIA,@,CIN,L,3,5,,46-52,4,15.0,Castillo,Garrett,Strickland,2:32,N,11387,.41,-,
99,Thursday Jul 28,boxscore,MIA,@,CIN,W,7,6,,47-52,4,14.5,Pop,Strickland,Scott,3:40,D,14506,.35,+,
100,Friday Jul 29,boxscore,MIA,,NYM,L,4,6,,47-53,4,15.5,Ottavino,Okert,Díaz,3:16,N,15131,.37,-,
101,Saturday Jul 30,boxscore,MIA,,NYM,L,0,4,,47-54,4,16.5,Carrasco,Neidert,,2:35,N,16655,.28,--,
102,Sunday Jul 31,boxscore,MIA,,NYM,L,3,9,,47-55,4,17.5,Walker,López,,3:23,D,17449,.23,---,
103,Monday Aug 1,boxscore,MIA,,CIN,L,1,3,,47-56,4,18.5,Greene,Luzardo,Strickland,2:55,N,7701,.17,----,
104,Tuesday Aug 2,boxscore,MIA,,CIN,L,1,2,,47-57,4,18.5,Ashcraft,Garrett,Díaz,2:46,N,8188,.12,-----,
105,Wednesday Aug 3,boxscore,MIA,,CIN,W,3,0,,48-57,4,18.5,Alcantara,Minor,,2:09,N,8656,.10,+,
106,Friday Aug 5,boxscore,MIA,@,CHC,L,1,2,,48-58,4,19.0,Wick,Floro,,3:20,D,35689,.11,-,
