Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
65,Thursday Jun 16,boxscore,SDP,@,CHC,W,6,4,,41-24,1,up 0.5,Musgrove,Swarmer,Rogers,3:03,D,30096,1.13,++++,
66,Friday Jun 17,boxscore,SDP,@,COL,L,4,10,,41-25,1,up 0.5,Freeland,Gore,,2:55,N,34304,1.14,-,
67,Saturday Jun 18,boxscore,SDP,@,COL,L,4,5,,41-26,2,0.5,Colomé,García,Bard,2:42,N,38768,1.17,--,
68,Sunday Jun 19,boxscore,SDP,@,COL,L,3,8,,41-27,2,0.5,Senzatela,Snell,,3:24,D,47342,1.19,---,
69,Monday Jun 20,boxscore,SDP,,ARI,W,4,1,,42-27,1,Tied,Darvish,Davies,Rogers,2:36,N,35430,1.29,+,
70,Tuesday Jun 21,boxscore,SDP,,ARI,W-wo,3,2,11,43-27,1,Tied,Hill,Kennedy,,3:55,N,31528,1.21,++,
71,Wednesday Jun 22,boxscore,SDP,,ARI,W,10,4,,44-27,1,Tied,Morejón,Bumgarner,Martinez,3:33,D,31024,1.19,+++,
72,Thursday Jun 23,boxscore,SDP,,PHI,L,2,6,,44-28,2,1.0,Suárez,Musgrove,,2:38,N,40355,1.18,-,
73,Friday Jun 24,boxscore,SDP,,PHI,W,1,0,,45-28,2,1.0,Crismatt,Nola,Rogers,3:05,N,38890,1.20,+,
74,Saturday Jun 25,boxscore,SDP,,PHI,L,2,4,,45-29,2,1.0,Eflin,Snell,Domínguez,2:59,N,37467,1.15,-,
75,Sunday Jun 26,boxscore,SDP,,PHI,L,5,8,,45-30,2,2.0,Nelson,Crismatt,Bellatti,3:19,D,41620,1.22,--,
76,Tuesday Jun 28,boxscore,SDP,@,ARI,L-wo,6,7,,45-31,2,1.5,Melancon,Rogers,,3:38,N,19904,1.20,---,
77,Wednesday Jun 29,boxscore,SDP,@,ARI,W,4,0,,46-31,2,1.5,Clevinger,Bumgarner,Martinez,3:12,D,20109,1.24,+,
78,Thursday Jun 30,boxscore,SDP,@,LAD,L,1,3,,46-32,2,2.5,Phillips,Musgrove,Kimbrel,2:50,N,53094,1.51,-,
79,Friday Jul 1,boxscore,SDP,@,LAD,L,1,5,,46-33,2,3.5,Gonsolin,Stammen,,2:56,N,48076,1.53,--,
80,Saturday Jul 2,boxscore,SDP,@,LAD,L,2,7,,46-34,2,4.5,Anderson,Darvish,,3:17,D,47061,1.53,---,
81,Sunday Jul 3,boxscore,SDP,@,LAD,W,4,2,,47-34,2,3.5,Martinez,Kimbrel,Rogers,3:12,D,42633,1.46,+,
82,Monday Jul 4,boxscore,SDP,,SEA,L,2,8,,47-35,2,4.5,Flexen,Manaea,,3:21,D,37913,1.18,-,
83,Tuesday Jul 5,boxscore,SDP,,SEA,L,2,6,,47-36,2,5.5,Gilbert,Clevinger,,3:16,D,29745,1.18,--,
84,Thursday Jul 7,boxscore,SDP,,SFG,W-wo,2,1,10,48-36,2,6.0,Crismatt,García,,3:22,N,42656,1.28,+,
85,Friday Jul 8,boxscore,SDP,,SFG,W,6,3,,49-36,2,6.0,Snell,Long,Martinez,3:16,N,42861,1.18,++,
86,Saturday Jul 9,boxscore,SDP,,SFG,L,1,3,,49-37,2,7.0,Rodón,García,,2:51,D,41714,1.13,-,
87,Sunday Jul 10,boxscore,SDP,,SFG,L,0,12,,49-38,2,8.0,Wood,Gore,,3:06,D,38712,1.19,--,
88,Monday Jul 11,boxscore,SDP,@,COL,W,6,5,,50-38,2,7.5,Manaea,Ureña,Rogers,3:01,N,27592,1.06,+,
89,Tuesday Jul 12,boxscore,SDP,@,COL,L,3,5,,50-39,2,7.5,Gomber,Clevinger,Bard,3:11,N,26577,1.03,-,
90,Wednesday Jul 13,boxscore,SDP,@,COL,L,6,10,,50-40,2,8.5,Stephenson,Scott,,3:40,N,25725,1.05,--,
91,Thursday Jul 14,boxscore,SDP,@,COL,L,5,8,,50-41,2,9.5,Chacín,Crismatt,Estévez,3:42,D,28077,1.08,---,
92,Friday Jul 15,boxscore,SDP,,ARI,W,5,3,,51-41,2,9.5,Darvish,Bumgarner,Rogers,3:04,N,41302,1.00,+,
93,Saturday Jul 16,boxscore,SDP,,ARI,W,4,3,,52-41,2,9.5,Manaea,Ramirez,Rogers,3:02,N,42384,.97,++,
94,Sunday Jul 17,boxscore,SDP,,ARI,L,1,3,,52-42,2,10.0,Kelly,Clevinger,Melancon,3:20,D,36428,.95,-,
95,Friday Jul 22,boxscore,SDP,@,NYM,W,4,1,,53-42,2,10.5,Darvish,Scherzer,Rogers,3:01,N,36855,1.00,+,
96,Saturday Jul 23,boxscore,SDP,@,NYM,W,2,1,,54-42,2,10.5,Snell,Bassitt,Rogers,3:10,N,39359,.98,++,
97,Sunday Jul 24,boxscore,SDP,@,NYM,L,5,8,,54-43,2,11.5,Smith,Musgrove,Díaz,3:39,N,35475,.92,-,
98,Monday Jul 25,boxscore,SDP,@,DET,L,4,12,,54-44,2,11.5,Vest,Manaea,,3:09,N,21647,.83,--,
99,Tuesday Jul 26,boxscore,SDP,@,DET,W,6,4,10,55-44,2,10.5,Rogers,Soto,Martinez,3:43,N,24213,.88,+,
100,Wednesday Jul 27,boxscore,SDP,@,DET,L-wo,3,4,,55-45,2,11.5,Fulmer,Rogers,,3:03,D,24669,.84,-,
101,Friday Jul 29,boxscore,SDP,,MIN,W,10,1,,56-45,2,12.0,Snell,Ryan,,2:47,N,43171,.89,+,
102,Saturday Jul 30,boxscore,SDP,,MIN,L,4,7,,56-46,2,12.0,Gray,Musgrove,,3:34,D,39574,.84,-,
103,Sunday Jul 31,boxscore,SDP,,MIN,W,3,2,,57-46,2,12.0,Manaea,Bundy,García,2:45,D,37336,.87,+,
104,Monday Aug 1,boxscore,SDP,,COL,W,4,1,,58-46,2,12.0,Clevinger,Senzatela,García,2:51,N,29983,.87,++,
105,Tuesday Aug 2 (1),boxscore,SDP,,COL,W,13,5,,59-46,2,11.5,Darvish,Bird,,3:35,D,23828,.85,+++,
106,Tuesday Aug 2 (2),boxscore,SDP,,COL,W-wo,3,2,,60-46,2,11.5,Hader,Colomé,,3:10,N,30759,.78,++++,
107,Wednesday Aug 3,boxscore,SDP,,COL,W,9,1,,61-46,2,11.5,Snell,Kuhl,,3:04,N,44652,.74,+++++,
108,Thursday Aug 4,boxscore,SDP,,COL,L,3,7,,61-47,2,12.5,Freeland,Musgrove,,3:41,D,30366,.66,-,
109,Friday Aug 5,boxscore,SDP,@,LAD,L,1,8,,61-48,2,13.5,Gonsolin,Manaea,,3:03,N,52714,.74,--,
110,Saturday Aug 6,boxscore,SDP,@,LAD,L,3,8,,61-49,2,14.5,Martin,Clevinger,,3:08,N,52124,.80,---,
111,Sunday Aug 7,boxscore,SDP,@,LAD,L,0,4,,61-50,2,15.5,Anderson,Darvish,,2:48,D,48093,.79,----,
112,Monday Aug 8,boxscore,SDP,,SFG,L,0,1,,61-51,2,16.0,Wood,Snell,Doval,3:15,N,40686,.94,-----,
113,Tuesday Aug 9,boxscore,SDP,,SFG,W-wo,7,4,,62-51,2,16.0,Hill,Rogers,,3:32,N,38626,.99,+,
114,Wednesday Aug 10,boxscore,SDP,,SFG,W,13,7,,63-51,2,16.0,Suarez,Marte,,3:32,D,32834,.89,++,
115,Friday Aug 12,boxscore,SDP,@,WSN,W,10,5,,64-51,2,16.0,Clevinger,Abbott,,4:03,N,35390,.78,+++,
116,Saturday Aug 13,boxscore,SDP,@,WSN,L,3,4,,64-52,2,17.0,Finnegan,Darvish,Edwards,3:31,N,33661,.76,-,
117,Sunday Aug 14,boxscore,SDP,@,WSN,W,6,0,,65-52,2,16.0,Snell,Espino,,3:18,D,27498,.80,+,
