away_pitcher_note,away_probable_pitcher,doubleheader,home_pitcher_note,inning_state,losing_Team,venue_name,game_datetime,away_id,game_date,venue_id,current_inning,status,away_name,home_probable_pitcher,winning_pitcher,summary,game_type,away_score,home_name,game_id,winning_team,home_score,game_num,save_pitcher,home_id,losing_team,series_status,losing_pitcher,national_broadcasts
,Chris Ellis,N,,Top,,Angel Stadium,2022-04-24T20:07:00Z,110,2022-04-24,1,9,Final,Baltimore Orioles,Jose Suarez,Jimmy Herget,2022-04-24 - Baltimore Orioles (6) @ Los Angeles Angels (7) (Final),R,6,Los Angeles Angels,661033,Los Angeles Angels,7,1,Archie Bradley,108,Baltimore Orioles,BAL wins 2-1,Mike Baumann,[]
,Shane Bieber,N,,Top,,Angel Stadium,2022-04-26T01:38:00Z,114,2022-04-25,1,9,Final,Cleveland Guardians,Michael Lorenzen,Michael Lorenzen,2022-04-25 - Cleveland Guardians (0) @ Los Angeles Angels (3) (Final),R,0,Los Angeles Angels,661034,Los Angeles Angels,3,1,Raisel Iglesias,108,Cleveland Guardians,LAA leads 1-0,Shane Bieber,[]
,Triston McKenzie,N,,Top,,Angel Stadium,2022-04-27T01:38:00Z,114,2022-04-26,1,9,Final,Cleveland Guardians,Patrick Sandoval,Patrick Sandoval,2022-04-26 - Cleveland Guardians (1) @ Los Angeles Angels (4) (Final),R,1,Los Angeles Angels,661032,Los Angeles Angels,4,1,Raisel Iglesias,108,Cleveland Guardians,LAA leads 2-0,Triston McKenzie,[]
,Zach Plesac,N,,Top,,Angel Stadium,2022-04-28T01:38:00Z,114,2022-04-27,1,9,Final,Cleveland Guardians,Shohei Ohtani,Shohei Ohtani,2022-04-27 - Cleveland Guardians (5) @ Los Angeles Angels (9) (Final),R,5,Los Angeles Angels,663439,Los Angeles Angels,9,1,,108,Cleveland Guardians,LAA wins 3-0,Zach Plesac,[]
,Cal Quantrill,N,,Top,,Angel Stadium,2022-04-28T20:07:00Z,114,2022-04-28,1,9,Final,Cleveland Guardians,Reid Detmers,Reid Detmers,2022-04-28 - Cleveland Guardians (1) @ Los Angeles Angels (4) (Final),R,1,Los Angeles Angels,663432,Los Angeles Angels,4,1,Raisel Iglesias,108,Cleveland Guardians,LAA wins 4-0,Cal Quantrill,[]
,Jimmy Herget,N,,Bottom,,Guaranteed Rate Field,2022-04-29T23:10:00Z,108,2022-04-29,4,9,Final,Los Angeles Angels,Lucas Giolito,Austin Warren,2022-04-29 - Los Angeles Angels (5) @ Chicago White Sox (1) (Final),R,5,Chicago White Sox,661535,Los Angeles Angels,1,1,Raisel Iglesias,145,Chicago White Sox,LAA leads 1-0,Lucas Giolito,[]
,Jose Suarez,N,,Top,,Guaranteed Rate Field,2022-04-30T20:05:00Z,108,2022-04-30,4,9,Final,Los Angeles Angels,Vince Velasquez,Vince Velasquez,2022-04-30 - Los Angeles Angels (0) @ Chicago White Sox (4) (Final),R,0,Chicago White Sox,661534,Chicago White Sox,4,1,,145,Los Angeles Angels,Series tied 1-1,Jose Suarez,['FS1']
,Michael Lorenzen,N,,Bottom,,Guaranteed Rate Field,2022-05-01T18:10:00Z,108,2022-05-01,4,9,Final,Los Angeles Angels,Dallas Keuchel,Michael Lorenzen,2022-05-01 - Los Angeles Angels (6) @ Chicago White Sox (5) (Final),R,6,Chicago White Sox,661531,Los Angeles Angels,5,1,Ryan Tepera,145,Chicago White Sox,LAA leads 2-1,Dallas Keuchel,[]
,Patrick Sandoval,N,,Top,,Guaranteed Rate Field,2022-05-02T18:10:00Z,108,2022-05-02,4,9,Final,Los Angeles Angels,Dylan Cease,Dylan Cease,2022-05-02 - Los Angeles Angels (0) @ Chicago White Sox (3) (Final),R,0,Chicago White Sox,661526,Chicago White Sox,3,1,Liam Hendriks,145,Los Angeles Angels,Series tied 2-2,Patrick Sandoval,[]
,Noah Syndergaard,N,,Top,,Fenway Park,2022-05-03T23:10:00Z,108,2022-05-03,3,9,Final,Los Angeles Angels,Michael Wacha,Michael Wacha,2022-05-03 - Los Angeles Angels (0) @ Boston Red Sox (4) (Final),R,0,Boston Red Sox,663237,Boston Red Sox,4,1,,111,Los Angeles Angels,BOS leads 1-0,Noah Syndergaard,[]
,Reid Detmers,N,,Bottom,,Fenway Park,2022-05-04T23:10:00Z,108,2022-05-04,3,10,Final,Los Angeles Angels,Garrett Whitlock,Ryan Tepera,2022-05-04 - Los Angeles Angels (10) @ Boston Red Sox (5) (Final),R,10,Boston Red Sox,663248,Los Angeles Angels,5,1,,111,Boston Red Sox,Series tied 1-1,Matt Barnes,['MLBN (out-of-market only)']
,Shohei Ohtani,N,,Bottom,,Fenway Park,2022-05-05T17:35:00Z,108,2022-05-05,3,9,Final,Los Angeles Angels,Rich Hill,Shohei Ohtani,2022-05-05 - Los Angeles Angels (8) @ Boston Red Sox (0) (Final),R,8,Boston Red Sox,663227,Los Angeles Angels,0,1,,111,Boston Red Sox,LAA wins 2-1,Tanner Houck,['MLBN (out-of-market only)']
,Joan Adon,N,,Top,,Angel Stadium,2022-05-07T01:38:00Z,120,2022-05-06,1,9,Final,Washington Nationals,Jhonathan Diaz,Jhonathan Diaz,2022-05-06 - Washington Nationals (0) @ Los Angeles Angels (3) (Final),R,0,Los Angeles Angels,663431,Los Angeles Angels,3,1,Raisel Iglesias,108,Washington Nationals,LAA leads 1-0,Joan Adon,['MLB.tv Free Game']
,Josiah Gray,N,,Bottom,,Angel Stadium,2022-05-08T01:07:00Z,120,2022-05-07,1,9,Final,Washington Nationals,Michael Lorenzen,Josiah Gray,2022-05-07 - Washington Nationals (7) @ Los Angeles Angels (3) (Final),R,7,Los Angeles Angels,663430,Washington Nationals,3,1,,108,Los Angeles Angels,Series tied 1-1,Michael Lorenzen,['MLB.tv Free Game']
,Erick Fedde,N,,Bottom,,Angel Stadium,2022-05-08T20:07:00Z,120,2022-05-08,1,9,Final,Washington Nationals,Patrick Sandoval,Jaime Barria,2022-05-08 - Washington Nationals (4) @ Los Angeles Angels (5) (Final),R,4,Los Angeles Angels,663429,Los Angeles Angels,5,1,,108,Washington Nationals,LAA wins 2-1,Tanner Rainey,['MLB.tv Free Game']
,Jeffrey Springs,N,,Top,,Angel Stadium,2022-05-10T01:38:00Z,139,2022-05-09,1,9,Final,Tampa Bay Rays,Noah Syndergaard,Noah Syndergaard,2022-05-09 - Tampa Bay Rays (3) @ Los Angeles Angels (11) (Final),R,3,Los Angeles Angels,663438,Los Angeles Angels,11,1,,108,Tampa Bay Rays,LAA leads 1-0,Jeffrey Springs,[]
,Corey Kluber,N,,Top,,Angel Stadium,2022-05-11T01:38:00Z,139,2022-05-10,1,9,Final,Tampa Bay Rays,Reid Detmers,Reid Detmers,2022-05-10 - Tampa Bay Rays (0) @ Los Angeles Angels (12) (Final),R,0,Los Angeles Angels,663416,Los Angeles Angels,12,1,,108,Tampa Bay Rays,LAA wins 2-0,Corey Kluber,['MLB.tv Free Game']
,Shane McClanahan,N,,Bottom,,Angel Stadium,2022-05-11T23:07:00Z,139,2022-05-11,1,10,Final,Tampa Bay Rays,Shohei Ohtani,J.P. Feyereisen,2022-05-11 - Tampa Bay Rays (4) @ Los Angeles Angels (2) (Final),R,4,Los Angeles Angels,663450,Tampa Bay Rays,2,1,Brooks Raley,108,Los Angeles Angels,LAA wins 2-1,Aaron Loup,['FS1']
,Chase Silseth,N,,Bottom,,Oakland Coliseum,2022-05-14T01:40:00Z,108,2022-05-13,10,9,Final,Los Angeles Angels,Daulton Jefferies,Chase Silseth,2022-05-13 - Los Angeles Angels (2) @ Oakland Athletics (0) (Final),R,2,Oakland Athletics,662381,Los Angeles Angels,0,1,Raisel Iglesias,133,Oakland Athletics,LAA leads 1-0,Daulton Jefferies,[]
,Jhonathan Diaz,S,,Bottom,,Oakland Coliseum,2022-05-14T20:07:00Z,108,2022-05-14,10,9,Final,Los Angeles Angels,Paul Blackburn,Lou Trivino,2022-05-14 - Los Angeles Angels (3) @ Oakland Athletics (4) (Final),R,3,Oakland Athletics,662379,Oakland Athletics,4,1,,133,Los Angeles Angels,Series tied 1-1,Raisel Iglesias,[]
,Michael Lorenzen,S,,Bottom,,Oakland Coliseum,2022-05-15T01:40:00Z,108,2022-05-14,10,9,Final,Los Angeles Angels,Adam Oller,Michael Lorenzen,2022-05-14 - Los Angeles Angels (9) @ Oakland Athletics (1) (Final),R,9,Oakland Athletics,662399,Los Angeles Angels,1,2,,133,Oakland Athletics,LAA leads 2-1,Adam Oller,[]
,Patrick Sandoval,N,,Bottom,,Oakland Coliseum,2022-05-15T20:07:00Z,108,2022-05-15,10,9,Final,Los Angeles Angels,Frankie Montas,Patrick Sandoval,2022-05-15 - Los Angeles Angels (4) @ Oakland Athletics (1) (Final),R,4,Oakland Athletics,662380,Los Angeles Angels,1,1,Jimmy Herget,133,Oakland Athletics,LAA wins 3-1,Frankie Montas,['MLB.tv Free Game']
,Noah Syndergaard,N,,Top,,Globe Life Field,2022-05-17T00:05:00Z,108,2022-05-16,5325,9,Final,Los Angeles Angels,Jon Gray,Jon Gray,2022-05-16 - Los Angeles Angels (4) @ Texas Rangers (7) (Final),R,4,Texas Rangers,661145,Texas Rangers,7,1,Joe Barlow,140,Los Angeles Angels,TEX leads 1-0,Noah Syndergaard,[]
