away_pitcher_note,away_probable_pitcher,doubleheader,home_pitcher_note,inning_state,losing_Team,venue_name,game_datetime,away_id,game_date,venue_id,current_inning,status,away_name,home_probable_pitcher,summary,winning_pitcher,game_type,away_score,home_name,game_id,winning_team,home_score,game_num,save_pitcher,home_id,losing_team,series_status,losing_pitcher,national_broadcasts
,Freddy Peralta,N,,Bottom,,Great American Ball Park,2022-05-10T22:40:00Z,158,2022-05-10,2602,9,Final,Milwaukee Brewers,Hunter Greene,2022-05-10 - Milwaukee Brewers (5) @ Cincinnati Reds (4) (Final),Freddy Peralta,R,5,Cincinnati Reds,663090,Milwaukee Brewers,4,1,Josh Hader,113,Cincinnati Reds,Series tied 1-1,Hunter Greene,[]
,Adrian Houser,N,,Top,,Great American Ball Park,2022-05-11T16:35:00Z,158,2022-05-11,2602,9,Final,Milwaukee Brewers,Vladimir Gutierrez,2022-05-11 - Milwaukee Brewers (11) @ Cincinnati Reds (14) (Final),Alexis Diaz,R,11,Cincinnati Reds,663074,Cincinnati Reds,14,1,,113,Milwaukee Brewers,CIN wins 2-1,Adrian Houser,['YouTube']
,Corbin Burnes,N,,Bottom,,loanDepot park,2022-05-13T22:40:00Z,158,2022-05-13,4169,9,Final,Milwaukee Brewers,Pablo Lopez,2022-05-13 - Milwaukee Brewers (2) @ Miami Marlins (1) (Final),Devin Williams,R,2,Miami Marlins,661361,Milwaukee Brewers,1,1,Josh Hader,146,Miami Marlins,MIL leads 1-0,Tanner Scott,[]
,Eric Lauer,N,,Top,,loanDepot park,2022-05-14T22:10:00Z,158,2022-05-14,4169,9,Final,Milwaukee Brewers,Trevor Rogers,2022-05-14 - Milwaukee Brewers (3) @ Miami Marlins (9) (Final),Trevor Rogers,R,3,Miami Marlins,661414,Miami Marlins,9,1,,146,Milwaukee Brewers,Series tied 1-1,Eric Lauer,[]
,Brandon Woodruff,N,,Bottom,,loanDepot park,2022-05-15T17:40:00Z,158,2022-05-15,4169,9,Final,Milwaukee Brewers,Elieser Hernandez,2022-05-15 - Milwaukee Brewers (7) @ Miami Marlins (3) (Final),Brandon Woodruff,R,7,Miami Marlins,661403,Milwaukee Brewers,3,1,Aaron Ashby,146,Miami Marlins,MIL wins 2-1,Elieser Hernandez,[]
,Ian Anderson,N,,Top,,American Family Field,2022-05-16T23:40:00Z,144,2022-05-16,32,9,Final,Atlanta Braves,Freddy Peralta,2022-05-16 - Atlanta Braves (0) @ Milwaukee Brewers (1) (Final),Freddy Peralta,R,0,Milwaukee Brewers,661212,Milwaukee Brewers,1,1,Josh Hader,158,Atlanta Braves,MIL leads 1-0,Ian Anderson,[]
,Tucker Davidson,N,,Bottom,,American Family Field,2022-05-17T23:40:00Z,144,2022-05-17,32,9,Final,Atlanta Braves,Adrian Houser,2022-05-17 - Atlanta Braves (3) @ Milwaukee Brewers (0) (Final),Tucker Davidson,R,3,Milwaukee Brewers,661196,Atlanta Braves,0,1,Kenley Jansen,158,Milwaukee Brewers,Series tied 1-1,Adrian Houser,[]
,Max Fried,N,,Bottom,,American Family Field,2022-05-18T17:10:00Z,144,2022-05-18,32,11,Final,Atlanta Braves,Corbin Burnes,2022-05-18 - Atlanta Braves (6) @ Milwaukee Brewers (7) (Final),Trevor Kelley,R,6,Milwaukee Brewers,661202,Milwaukee Brewers,7,1,,158,Atlanta Braves,MIL wins 2-1,Jesse Chavez,['MLBN (out-of-market only)']
,Erick Fedde,N,,Top,,American Family Field,2022-05-21T00:10:00Z,120,2022-05-20,32,9,Final,Washington Nationals,Eric Lauer,2022-05-20 - Washington Nationals (0) @ Milwaukee Brewers (7) (Final),Eric Lauer,R,0,Milwaukee Brewers,661195,Milwaukee Brewers,7,1,,158,Washington Nationals,MIL leads 1-0,Erick Fedde,[]
,Patrick Corbin,N,,Top,,American Family Field,2022-05-21T23:10:00Z,120,2022-05-21,32,9,Final,Washington Nationals,Brandon Woodruff,2022-05-21 - Washington Nationals (1) @ Milwaukee Brewers (5) (Final),Brandon Woodruff,R,1,Milwaukee Brewers,661280,Milwaukee Brewers,5,1,Josh Hader,158,Washington Nationals,MIL wins 2-0,Patrick Corbin,[]
,Aaron Sanchez,N,,Bottom,,American Family Field,2022-05-22T18:10:00Z,120,2022-05-22,32,9,Final,Washington Nationals,Freddy Peralta,2022-05-22 - Washington Nationals (8) @ Milwaukee Brewers (2) (Final),Aaron Sanchez,R,8,Milwaukee Brewers,661248,Washington Nationals,2,1,,158,Milwaukee Brewers,MIL wins 2-1,Freddy Peralta,[]
,Adrian Houser,N,,Bottom,,Petco Park,2022-05-24T01:40:00Z,158,2022-05-23,2680,10,Final,Milwaukee Brewers,Nick Martinez,2022-05-23 - Milwaukee Brewers (2) @ San Diego Padres (3) (Final),Luis Garcia,R,2,San Diego Padres,662257,San Diego Padres,3,1,,135,Milwaukee Brewers,SD leads 1-0,Miguel Sanchez,[]
,Corbin Burnes,N,,Bottom,,Petco Park,2022-05-25T01:40:00Z,158,2022-05-24,2680,9,Final,Milwaukee Brewers,Blake Snell,2022-05-24 - Milwaukee Brewers (4) @ San Diego Padres (1) (Final),Corbin Burnes,R,4,San Diego Padres,662229,Milwaukee Brewers,1,1,Devin Williams,135,San Diego Padres,Series tied 1-1,Blake Snell,['TBS (out-of-market only)']
,Aaron Ashby,N,,Bottom,,Petco Park,2022-05-25T20:10:00Z,158,2022-05-25,2680,9,Final,Milwaukee Brewers,Yu Darvish,2022-05-25 - Milwaukee Brewers (2) @ San Diego Padres (1) (Final),Luis Perdomo,R,2,San Diego Padres,662228,Milwaukee Brewers,1,1,Devin Williams,135,San Diego Padres,MIL wins 2-1,Yu Darvish,[]
,Eric Lauer,N,,Bottom,,Busch Stadium,2022-05-26T23:45:00Z,158,2022-05-26,2889,9,Final,Milwaukee Brewers,Adam Wainwright,2022-05-26 - Milwaukee Brewers (4) @ St. Louis Cardinals (3) (Final),Eric Lauer,R,4,St. Louis Cardinals,661997,Milwaukee Brewers,3,1,Josh Hader,138,St. Louis Cardinals,MIL leads 1-0,Adam Wainwright,[]
,Brandon Woodruff,N,,Top,,Busch Stadium,2022-05-28T00:15:00Z,158,2022-05-27,2889,9,Final,Milwaukee Brewers,Dakota Hudson,2022-05-27 - Milwaukee Brewers (2) @ St. Louis Cardinals (4) (Final),Drew VerHagen,R,2,St. Louis Cardinals,661992,St. Louis Cardinals,4,1,Ryan Helsley,138,Milwaukee Brewers,Series tied 1-1,Brandon Woodruff,[]
,Adrian Houser,N,,Top,,Busch Stadium,2022-05-28T18:15:00Z,158,2022-05-28,2889,9,Final,Milwaukee Brewers,Matthew Liberatore,2022-05-28 - Milwaukee Brewers (3) @ St. Louis Cardinals (8) (Final),Matthew Liberatore,R,3,St. Louis Cardinals,661991,St. Louis Cardinals,8,1,,138,Milwaukee Brewers,STL leads 2-1,Adrian Houser,[]
,Corbin Burnes,N,,Bottom,,Busch Stadium,2022-05-29T18:15:00Z,158,2022-05-29,2889,9,Final,Milwaukee Brewers,Miles Mikolas,2022-05-29 - Milwaukee Brewers (8) @ St. Louis Cardinals (0) (Final),Corbin Burnes,R,8,St. Louis Cardinals,661990,Milwaukee Brewers,0,1,,138,St. Louis Cardinals,Series tied 2-2,Miles Mikolas,[]
,Ethan Small,S,,Bottom,,Wrigley Field,2022-05-30T17:05:00Z,158,2022-05-30,17,9,Final,Milwaukee Brewers,Matt Swarmer,2022-05-30 - Milwaukee Brewers (7) @ Chicago Cubs (6) (Final),Miguel Sanchez,R,7,Chicago Cubs,663149,Milwaukee Brewers,6,1,Josh Hader,112,Chicago Cubs,MIL leads 1-0,Daniel Norris,['MLBN (out-of-market only)']
,Aaron Ashby,S,,Bottom,,Wrigley Field,2022-05-30T23:40:00Z,158,2022-05-30,17,9,Final,Milwaukee Brewers,Drew Smyly,2022-05-30 - Milwaukee Brewers (3) @ Chicago Cubs (1) (Final),Aaron Ashby,R,3,Chicago Cubs,663147,Milwaukee Brewers,1,2,Josh Hader,112,Chicago Cubs,MIL leads 2-0,Anderson Espinoza,['MLBN']
,Eric Lauer,N,,Top,,Wrigley Field,2022-06-01T00:05:00Z,158,2022-05-31,17,9,Final,Milwaukee Brewers,Justin Steele,2022-05-31 - Milwaukee Brewers (7) @ Chicago Cubs (8) (Final),Mychal Givens,R,7,Chicago Cubs,663154,Chicago Cubs,8,1,David Robertson,112,Milwaukee Brewers,MIL leads 2-1,Brad Boxberger,[]
,Jason Alexander,N,,Bottom,,Wrigley Field,2022-06-02T00:05:00Z,158,2022-06-01,17,10,Final,Milwaukee Brewers,Kyle Hendricks,2022-06-01 - Milwaukee Brewers (3) @ Chicago Cubs (4) (Final),Mark Leiter Jr.,R,3,Chicago Cubs,663184,Chicago Cubs,4,1,,112,Milwaukee Brewers,Series tied 2-2,Hoby Milner,[]
,Sean Manaea,N,,Bottom,,American Family Field,2022-06-02T23:40:00Z,135,2022-06-02,32,9,Final,San Diego Padres,Adrian Houser,2022-06-02 - San Diego Padres (4) @ Milwaukee Brewers (5) (Final),Peter Strzelecki,R,4,Milwaukee Brewers,661340,Milwaukee Brewers,5,1,,158,San Diego Padres,MIL leads 1-0,Taylor Rogers,[]
,Joe Musgrove,N,,Bottom,,American Family Field,2022-06-04T00:10:00Z,135,2022-06-03,32,9,Final,San Diego Padres,Corbin Burnes,2022-06-03 - San Diego Padres (7) @ Milwaukee Brewers (0) (Final),Joe Musgrove,R,7,Milwaukee Brewers,661334,San Diego Padres,0,1,,158,Milwaukee Brewers,Series tied 1-1,Corbin Burnes,[]
,MacKenzie Gore,N,,Bottom,,American Family Field,2022-06-04T20:10:00Z,135,2022-06-04,32,9,Final,San Diego Padres,Aaron Ashby,2022-06-04 - San Diego Padres (4) @ Milwaukee Brewers (0) (Final),MacKenzie Gore,R,4,Milwaukee Brewers,661214,San Diego Padres,0,1,,158,Milwaukee Brewers,SD leads 2-1,Aaron Ashby,['MLBN (out-of-market only)']
,Mike Clevinger,N,,Bottom,,American Family Field,2022-06-05T18:10:00Z,135,2022-06-05,32,10,Final,San Diego Padres,Eric Lauer,2022-06-05 - San Diego Padres (6) @ Milwaukee Brewers (4) (Final),Tim Hill,R,6,Milwaukee Brewers,661241,San Diego Padres,4,1,Taylor Rogers,158,Milwaukee Brewers,SD wins 3-1,Trevor Gott,[]
,Ranger Suarez,N,,Bottom,,American Family Field,2022-06-08T00:10:00Z,143,2022-06-07,32,9,Final,Philadelphia Phillies,Jason Alexander,2022-06-07 - Philadelphia Phillies (3) @ Milwaukee Brewers (2) (Final),Connor Brogdon,R,3,Milwaukee Brewers,661205,Philadelphia Phillies,2,1,Corey Knebel,158,Milwaukee Brewers,PHI leads 1-0,Josh Hader,[]
,Aaron Nola,N,,Bottom,,American Family Field,2022-06-09T00:10:00Z,143,2022-06-08,32,9,Final,Philadelphia Phillies,Adrian Houser,2022-06-08 - Philadelphia Phillies (10) @ Milwaukee Brewers (0) (Final),Aaron Nola,R,10,Milwaukee Brewers,661188,Philadelphia Phillies,0,1,,158,Milwaukee Brewers,PHI wins 2-0,Adrian Houser,[]
