away_pitcher_note,away_probable_pitcher,doubleheader,home_pitcher_note,inning_state,venue_name,game_datetime,away_id,game_date,venue_id,current_inning,status,away_name,home_probable_pitcher,winning_pitcher,summary,game_type,away_score,home_name,game_id,winning_team,home_score,game_num,save_pitcher,home_id,losing_team,series_status,losing_pitcher,national_broadcasts
,Eric Lauer,N,,Bottom,Truist Park,2022-05-06T23:20:00Z,158,2022-05-06,4705,9,Final,Milwaukee Brewers,Jesse Chavez,Eric Lauer,2022-05-06 - Milwaukee Brewers (6) @ Atlanta Braves (3) (Final),R,6,Atlanta Braves,661541,Milwaukee Brewers,3,1,Josh Hader,144,Atlanta Braves,MIL leads 1-0,Collin McHugh,['MLB.tv Free Game']
,Corbin Burnes,N,,Top,Truist Park,2022-05-07T23:20:00Z,158,2022-05-07,4705,9,Final,Milwaukee Brewers,Max Fried,Max Fried,2022-05-07 - Milwaukee Brewers (2) @ Atlanta Braves (3) (Final),R,2,Atlanta Braves,661540,Atlanta Braves,3,1,Kenley Jansen,144,Milwaukee Brewers,Series tied 1-1,Corbin Burnes,['MLB.tv Free Game']
,Aaron Ashby,N,,Top,Truist Park,2022-05-08T17:35:00Z,158,2022-05-08,4705,9,Final,Milwaukee Brewers,Charlie Morton,Charlie Morton,2022-05-08 - Milwaukee Brewers (2) @ Atlanta Braves (9) (Final),R,2,Atlanta Braves,661550,Atlanta Braves,9,1,,144,Milwaukee Brewers,ATL wins 2-1,Aaron Ashby,['MLB.tv Free Game']
,Garrett Whitlock,N,,Bottom,Truist Park,2022-05-10T23:20:00Z,111,2022-05-10,4705,9,Final,Boston Red Sox,Kyle Wright,Tyler Danish,2022-05-10 - Boston Red Sox (9) @ Atlanta Braves (4) (Final),R,9,Atlanta Braves,661549,Boston Red Sox,4,1,John Schreiber,144,Atlanta Braves,BOS leads 1-0,Kyle Wright,['TBS (out-of-market only)']
,Nathan Eovaldi,N,,Bottom,Truist Park,2022-05-11T23:20:00Z,111,2022-05-11,4705,9,Final,Boston Red Sox,Ian Anderson,Kenley Jansen,2022-05-11 - Boston Red Sox (3) @ Atlanta Braves (5) (Final),R,3,Atlanta Braves,661548,Atlanta Braves,5,1,,144,Boston Red Sox,Series tied 1-1,Ryan Brasier,[]
,Yu Darvish,N,,Bottom,Truist Park,2022-05-13T23:20:00Z,135,2022-05-13,4705,9,Final,San Diego Padres,Max Fried,Luis Garcia,2022-05-13 - San Diego Padres (11) @ Atlanta Braves (6) (Final),R,11,Atlanta Braves,661547,San Diego Padres,6,1,Taylor Rogers,144,Atlanta Braves,SD leads 1-0,Will Smith,['Apple TV+']
,Sean Manaea,N,,Top,Truist Park,2022-05-14T20:05:00Z,135,2022-05-14,4705,9,Final,San Diego Padres,Charlie Morton,Kenley Jansen,2022-05-14 - San Diego Padres (5) @ Atlanta Braves (6) (Final),R,5,Atlanta Braves,661546,Atlanta Braves,6,1,,144,San Diego Padres,Series tied 1-1,Steven Wilson,['FS1']
,Joe Musgrove,N,,Bottom,Truist Park,2022-05-15T15:35:00Z,135,2022-05-15,4705,11,Final,San Diego Padres,Kyle Wright,Nabil Crismatt,2022-05-15 - San Diego Padres (7) @ Atlanta Braves (3) (Final),R,7,Atlanta Braves,661545,San Diego Padres,3,1,,144,Atlanta Braves,SD wins 2-1,Jackson Stephens,['Peacock']
,Ian Anderson,N,,Top,American Family Field,2022-05-16T23:40:00Z,144,2022-05-16,32,9,Final,Atlanta Braves,Freddy Peralta,Freddy Peralta,2022-05-16 - Atlanta Braves (0) @ Milwaukee Brewers (1) (Final),R,0,Milwaukee Brewers,661212,Milwaukee Brewers,1,1,Josh Hader,158,Atlanta Braves,MIL leads 1-0,Ian Anderson,[]
,Tucker Davidson,N,,Bottom,American Family Field,2022-05-17T23:40:00Z,144,2022-05-17,32,9,Final,Atlanta Braves,Adrian Houser,Tucker Davidson,2022-05-17 - Atlanta Braves (3) @ Milwaukee Brewers (0) (Final),R,3,Milwaukee Brewers,661196,Atlanta Braves,0,1,Kenley Jansen,158,Milwaukee Brewers,Series tied 1-1,Adrian Houser,[]
