away_pitcher_note,away_probable_pitcher,doubleheader,home_pitcher_note,inning_state,venue_name,game_datetime,away_id,game_date,venue_id,current_inning,status,away_name,home_probable_pitcher,winning_pitcher,summary,game_type,away_score,home_name,game_id,winning_team,home_score,game_num,save_pitcher,home_id,losing_team,series_status,losing_pitcher,national_broadcasts
,Zack Greinke,N,,Top,Guaranteed Rate Field,2022-04-27T18:10:00Z,118,2022-04-27,4,9,Final,Kansas City Royals,Dylan Cease,Bennett Sousa,2022-04-27 - Kansas City Royals (3) @ Chicago White Sox (7) (Final),R,3,Chicago White Sox,661533,Chicago White Sox,7,1,Kendall Graveman,145,Kansas City Royals,Series tied 1-1,Collin Snider,[]
,Brad Keller,N,,Bottom,Guaranteed Rate Field,2022-04-28T18:10:00Z,118,2022-04-28,4,10,Final,Kansas City Royals,Michael Kopech,Scott Barlow,2022-04-28 - Kansas City Royals (5) @ Chicago White Sox (2) (Final),R,5,Chicago White Sox,661532,Kansas City Royals,2,1,Taylor Clarke,145,Chicago White Sox,KC wins 2-1,Aaron Bummer,[]
,Jimmy Herget,N,,Bottom,Guaranteed Rate Field,2022-04-29T23:10:00Z,108,2022-04-29,4,9,Final,Los Angeles Angels,Lucas Giolito,Austin Warren,2022-04-29 - Los Angeles Angels (5) @ Chicago White Sox (1) (Final),R,5,Chicago White Sox,661535,Los Angeles Angels,1,1,Raisel Iglesias,145,Chicago White Sox,LAA leads 1-0,Lucas Giolito,[]
,Jose Suarez,N,,Top,Guaranteed Rate Field,2022-04-30T20:05:00Z,108,2022-04-30,4,9,Final,Los Angeles Angels,Vince Velasquez,Vince Velasquez,2022-04-30 - Los Angeles Angels (0) @ Chicago White Sox (4) (Final),R,0,Chicago White Sox,661534,Chicago White Sox,4,1,,145,Los Angeles Angels,Series tied 1-1,Jose Suarez,['FS1']
,Michael Lorenzen,N,,Bottom,Guaranteed Rate Field,2022-05-01T18:10:00Z,108,2022-05-01,4,9,Final,Los Angeles Angels,Dallas Keuchel,Michael Lorenzen,2022-05-01 - Los Angeles Angels (6) @ Chicago White Sox (5) (Final),R,6,Chicago White Sox,661531,Los Angeles Angels,5,1,Ryan Tepera,145,Chicago White Sox,LAA leads 2-1,Dallas Keuchel,[]
,Patrick Sandoval,N,,Top,Guaranteed Rate Field,2022-05-02T18:10:00Z,108,2022-05-02,4,9,Final,Los Angeles Angels,Dylan Cease,Dylan Cease,2022-05-02 - Los Angeles Angels (0) @ Chicago White Sox (3) (Final),R,0,Chicago White Sox,661526,Chicago White Sox,3,1,Liam Hendriks,145,Los Angeles Angels,Series tied 2-2,Patrick Sandoval,[]
,Michael Kopech,N,,Bottom,Wrigley Field,2022-05-03T23:40:00Z,145,2022-05-03,17,9,Final,Chicago White Sox,Scott Effross,Reynaldo Lopez,2022-05-03 - Chicago White Sox (3) @ Chicago Cubs (1) (Final),R,3,Chicago Cubs,663165,Chicago White Sox,1,1,Liam Hendriks,112,Chicago Cubs,CWS leads 1-0,Scott Effross,[]
,Lucas Giolito,N,,Bottom,Wrigley Field,2022-05-04T23:40:00Z,145,2022-05-04,17,9,Final,Chicago White Sox,Kyle Hendricks,Lucas Giolito,2022-05-04 - Chicago White Sox (4) @ Chicago Cubs (3) (Final),R,4,Chicago Cubs,663164,Chicago White Sox,3,1,Liam Hendriks,112,Chicago Cubs,CWS wins 2-0,Kyle Hendricks,[]
,Vince Velasquez,N,,Bottom,Fenway Park,2022-05-06T23:10:00Z,145,2022-05-06,3,9,Final,Chicago White Sox,Nathan Eovaldi,Vince Velasquez,2022-05-06 - Chicago White Sox (4) @ Boston Red Sox (2) (Final),R,4,Boston Red Sox,663224,Chicago White Sox,2,1,Liam Hendriks,111,Boston Red Sox,CWS leads 1-0,Nathan Eovaldi,['Apple TV+']
,Dylan Cease,N,,Bottom,Fenway Park,2022-05-07T20:10:00Z,145,2022-05-07,3,10,Final,Chicago White Sox,Nick Pivetta,Reynaldo Lopez,2022-05-07 - Chicago White Sox (3) @ Boston Red Sox (1) (Final),R,3,Boston Red Sox,663226,Chicago White Sox,1,1,Liam Hendriks,111,Boston Red Sox,CWS wins 2-0,Matt Barnes,['MLB.tv Free Game']
